R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Birmingham,6%,58%,37%
2,Ipswich,11%,51%,38%
3,Blackpool,10%,53%,38%
4,Sheffield Wednesday,6%,56%,39%
5,Leeds,8%,53%,39%
6,Brentford,4%,55%,40%
7,Charlton,8%,52%,40%
8,Fulham,6%,53%,40%
9,Millwall,5%,53%,41%
10,Norwich,4%,54%,41%
11,Reading,10%,48%,42%
12,Wolverhampton Wanderers,4%,53%,43%
13,Brighton,6%,51%,43%
14,Blackburn,7%,50%,43%
15,Derby,6%,50%,44%
16,Middlesbrough,9%,47%,44%
17,Rotherham,5%,51%,44%
18,Wigan,8%,48%,44%
19,Huddersfield,6%,49%,45%
20,Bolton,7%,48%,45%
21,Cardiff,4%,50%,46%
22,Watford,7%,47%,46%
23,Bournemouth,7%,47%,46%
24,Nottingham Forest,7%,43%,50%
