R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Millwall,4%,61%,35%
2,Sheffield Wednesday,8%,56%,36%
3,Reading,7%,52%,40%
4,Wigan,5%,55%,40%
5,Blackpool,6%,53%,41%
6,Derby,7%,52%,41%
7,Blackburn,7%,53%,41%
8,Ipswich,5%,53%,42%
9,Huddersfield,7%,50%,43%
10,Rotherham,7%,50%,43%
11,Watford,4%,54%,43%
12,Fulham,5%,52%,43%
13,Birmingham,3%,53%,44%
14,Brighton,5%,49%,45%
15,Leeds,6%,49%,45%
16,Brentford,6%,47%,46%
17,Bournemouth,6%,48%,46%
18,Bolton,4%,49%,47%
19,Charlton,5%,47%,48%
20,Cardiff,4%,49%,48%
21,Middlesbrough,8%,45%,48%
22,Norwich,4%,47%,49%
23,Nottingham Forest,4%,47%,49%
24,Wolverhampton Wanderers,4%,42%,54%
