event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,a2e8a001-365f-48cd-b7d4-962d2ef9a27f,179,1,00:03:29.320,3,29,8,Barcelona,From Goal Kick,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,1.759323,,0.0615688,7e923354-25ca-4b3c-894e-34f046777473,Right Foot,Open Play,Saved,Normal,True,,,,,,72.7,65.8,113.0,46.4,0.8
shot,b8ab1056-5dd9-4ff3-9150-2935b62973ab,248,1,00:04:45.535,4,45,16,Sevilla,From Corner,,Sevilla,Éver Maximiliano David Banega,Right Center Midfield,1.450364,,0.013846162,b25ba8c9-234f-465a-88de-c09c82a1084d,Left Foot,Open Play,Saved,Volley,True,,,,,,95.3,29.4,117.3,40.1,0.4
shot,b647caad-6949-4f06-8def-26e0e4a9ab27,574,1,00:10:59.008,10,59,26,Sevilla,Regular Play,,Sevilla,Luuk de Jong,Center Forward,0.35827,,0.10177889,1c9863b2-328a-47fd-950b-85b9d3ef3211,Right Foot,Open Play,Saved,Normal,True,,,,,,112.0,46.5,119.2,43.5,0.6
shot,79137548-9824-4084-b2a4-9c108ae06c60,625,1,00:12:35.708,12,35,30,Sevilla,From Corner,,Sevilla,Fernando Francisco Reges,Center Defensive Midfield,0.362812,True,0.129604,9968f3c1-d012-4557-897d-e28b9c9933a3,Head,Open Play,Off T,Normal,,,,,,,115.6,33.7,120.0,37.9,3.5
shot,0200fe5f-f089-42fe-b9da-d8b0b865d27c,822,1,00:17:30.682,17,30,38,Sevilla,From Corner,,Sevilla,Lucas Ariel Ocampos,Right Wing,0.497592,True,0.13099562,4c5291fe-dcf0-4b99-ac1f-1321697ede37,Head,Open Play,Wayward,Normal,,,,,,,113.7,42.6,114.1,34.2,
shot,6cc33eb2-2bdf-4df2-a4c3-7e8e553362b1,1016,1,00:22:29.062,22,29,47,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.203536,,0.0433889,,Left Foot,Free Kick,Off T,Normal,,,,,,,93.6,55.9,120.0,42.1,3.8
shot,89ed16ac-abd4-4b1c-af4c-392c3061fba7,1092,1,00:24:38.081,24,38,51,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.075194,,0.04287306,,Left Foot,Open Play,Blocked,Normal,True,,,,,,110.4,27.1,111.0,27.9,
shot,932d3498-1a21-4ec2-821b-b53eb69aa333,1156,1,00:25:44.415,25,44,54,Sevilla,Regular Play,,Sevilla,Luuk de Jong,Center Forward,0.688829,,0.18011248,53417fc7-1b96-4838-b061-af4ece293706,Head,Open Play,Off T,Normal,,,,,,,115.6,33.3,120.0,40.0,3.7
shot,bd4c447c-ecba-4396-884d-e1b38b2f0a9e,1183,1,00:26:36.279,26,36,55,Barcelona,From Goal Kick,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.538088,,0.1670952,4e6c7b2a-8b65-49f9-b36c-7a72a83cb5e3,Left Foot,Open Play,Goal,Overhead Kick,True,,,,,,112.2,41.4,120.0,43.0,0.4
shot,416622ee-e286-48ac-9535-7785624201c6,1377,1,00:31:13.203,31,13,60,Barcelona,Regular Play,,Barcelona,Arturo Erasmo Vidal Pardo,Right Center Midfield,0.565901,,0.44732305,886c5a67-e155-407e-8d1e-65b65c6e4f46,Right Foot,Open Play,Goal,Volley,True,,,,,,111.8,37.8,120.0,37.6,0.6
shot,d067af51-f58f-4bfe-a8d1-21fcec0c811d,1410,1,00:34:01.225,34,1,63,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.202049,,0.06200937,,Left Foot,Free Kick,Off T,Normal,,,,,,,96.3,54.5,120.0,44.3,3.9
shot,7333040b-df64-491d-915f-f3953cab3923,1433,1,00:34:33.417,34,33,64,Sevilla,From Goal Kick,,Barcelona,Ousmane Dembélé,Left Wing,0.648648,,0.22465374,,Right Foot,Open Play,Goal,Normal,,,,,,,110.0,29.5,120.0,42.8,0.2
shot,8bd122fd-a1e7-4410-8d5f-2fbe8c2db849,1612,1,00:38:46.550,38,46,69,Sevilla,From Free Kick,,Sevilla,Manuel Agudo Durán,Left Wing,0.656088,,0.058921576,419a3b07-d917-4df8-8087-d14d26996b50,Head,Open Play,Saved,Normal,,,,,,,108.7,34.3,119.5,38.6,1.5
shot,d96f3f7b-060e-4ca5-a2dc-c217c287a7cb,1639,1,00:39:26.156,39,26,74,Sevilla,From Free Kick,,Sevilla,Luuk de Jong,Center Forward,0.041437,True,0.04148835,1120b90d-c64a-4588-a290-f9dd1797619d,Head,Open Play,Blocked,Normal,,,,,,,107.3,39.1,107.9,39.4,
shot,a5e4f7a8-dd9c-4195-ae40-d4a1fb1ee75f,1658,1,00:40:10.175,40,10,75,Sevilla,From Corner,,Sevilla,Lucas Ariel Ocampos,Right Wing,1.112576,,0.0138676185,aa3f3627-511e-400d-a74f-2ed987997700,Right Foot,Open Play,Off T,Half Volley,,,,,,,105.6,59.9,120.0,34.2,0.6
shot,ca198ebf-34aa-4c70-8240-1c5bd0c5e32d,2088,2,00:03:28.437,48,28,93,Barcelona,From Free Kick,,Sevilla,Luuk de Jong,Center Forward,0.794147,,0.43584797,,Right Foot,Open Play,Post,Normal,,,,,,,104.2,47.1,119.9,35.9,0.2
shot,ce9bc0c0-c896-4be6-bd4a-6a4b59999d9e,2282,2,00:07:07.478,52,7,98,Sevilla,From Free Kick,,Sevilla,Sergio Reguilón Rodríguez,Left Back,0.985734,,0.051415462,1f5a49e0-a1bb-4e4f-afac-ac9acc71aac9,Left Foot,Open Play,Saved,Normal,,,,,,,97.8,27.4,117.4,39.2,0.2
shot,4b62e346-e366-486a-8dca-ff177a25ee08,2357,2,00:09:59.625,54,59,106,Sevilla,From Corner,,Sevilla,Daniel Filipe Martins Carriço,Left Center Back,0.66866,,0.16555431,e918941b-3c63-4897-94b8-ae2309509e00,Head,Open Play,Wayward,Normal,,,,True,,,113.3,33.7,115.0,74.0,
shot,6edc3ea8-4e6d-4928-b4ab-c7ada26b7cde,2545,2,00:12:51.530,57,51,110,Sevilla,Regular Play,,Sevilla,Lucas Ariel Ocampos,Right Wing,0.583635,,0.049796276,703469d0-21a9-474c-aef5-146158d5710a,Right Foot,Open Play,Off T,Normal,,,,,,,106.2,53.0,120.0,42.0,5.0
shot,68d818db-5da9-4aa6-b650-69d6c0ef6c72,2629,2,00:14:12.118,59,12,111,Barcelona,From Goal Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.609196,,0.090226255,8730a5f9-fd62-47f6-ba1f-14e9f9876ec4,Left Foot,Open Play,Saved,Normal,,,,,,,105.5,29.1,117.9,38.8,0.2
shot,4b04291e-0fae-4827-b6c6-eee413f746a7,2634,2,00:14:54.729,59,54,112,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Left Center Back,1.507985,True,0.021714572,bb0bdc9e-5a50-4d5c-83aa-7d4d75eeba7a,Head,Open Play,Off T,Normal,,,,,,,106.8,40.1,120.0,32.8,0.4
