event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,51e16094-ca06-48a6-8508-09900ae84ce4,26,1,00:00:23.596,0,23,3,Barcelona,From Throw In,,Barcelona,Xavier Hernández Creus,Left Center Midfield,0.8226,,0.032201294,03628397-451e-4974-9960-3b6a1c49aff6,Right Foot,Open Play,Saved,Normal,True,,,,,,98.3,49.3,119.1,43.1,1.6
shot,e45bf3e2-a36c-490a-9cd6-37ce19a52229,275,1,00:06:05.800,6,5,23,Barcelona,From Free Kick,,Barcelona,"Samuel Eto""o Fils",Center Forward,1.064279,,0.020812476,118bae31-dfe2-4304-b912-26d7d6596ec2,Right Foot,Open Play,Saved,Normal,,,,,,,96.2,28.6,118.3,42.9,0.3
shot,2bcbd776-4a0e-4371-b93b-2251dc9f3d48,579,1,00:13:28.515,13,28,43,Real Madrid,From Free Kick,,Real Madrid,Gonzalo Gerardo Higuaín,Left Center Forward,0.841074,,0.13440591,1eda3645-ef1f-4c96-98dc-fa353bc182d4,Head,Open Play,Goal,Normal,,,,,,,109.5,43.0,120.0,43.2,1.3
shot,374a8767-c5e9-45f4-a9f4-a66420b48417,698,1,00:17:05.121,17,5,49,Barcelona,Regular Play,,Barcelona,Thierry Henry,Left Wing,0.557426,,0.16741322,4fbb7055-2cc4-4685-a49e-83de928afee7,Right Foot,Open Play,Goal,Normal,True,,,,,,113.2,27.6,120.0,41.7,0.3
shot,12d3a183-a073-423c-96fc-05b49053732e,772,1,00:19:48.042,19,48,52,Barcelona,From Free Kick,,Barcelona,Carles Puyol i Saforcada,Left Center Back,0.6886,,0.09320619,17dd29b2-76cf-4b94-93fc-3c6f5fc25b2d,Head,Open Play,Goal,Normal,,,,,,,112.2,43.9,120.0,42.3,0.4
shot,c1871e23-8c88-4450-9e5a-fa05fb40a312,813,1,00:21:07.687,21,7,53,Real Madrid,From Kick Off,,Real Madrid,Arjen Robben,Right Midfield,0.3306,,0.22021416,873793c8-9de7-4f8b-8d18-9b3c809d409f,Right Foot,Open Play,Saved,Normal,True,,,,,,113.3,52.4,118.4,44.7,0.1
shot,97e19ce1-f5d9-4611-b125-6daf20bd2572,925,1,00:23:45.821,23,45,57,Barcelona,From Counter,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.3013,,0.1415835,ccb35f5c-86aa-4cce-86af-5abf8de09ac0,Left Foot,Open Play,Saved,Normal,,,,True,,,111.7,28.2,118.3,36.1,1.3
shot,57d1b991-8856-407f-b252-fccd592314d6,1030,1,00:26:30.091,26,30,60,Barcelona,From Free Kick,,Barcelona,"Samuel Eto""o Fils",Center Forward,0.6159,,0.08082341,c0a57c99-100b-491d-b242-70f8e213a1f0,Right Foot,Open Play,Saved,Normal,,,,,,,104.8,52.0,118.1,43.5,2.1
shot,6c6d3647-9060-4ea7-938e-5f01b4c72476,1124,1,00:28:23.116,28,23,63,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.155449,,0.6884792,6bf7ec7a-7831-46ab-a6f2-d0cedaa93ccd,Left Foot,Open Play,Saved,Normal,,,,,,,107.8,38.6,111.3,38.6,0.9
shot,2a752780-e0f2-4ec5-9978-ac72677cd207,1242,1,00:31:40.592,31,40,73,Real Madrid,From Throw In,,Real Madrid,Raúl González Blanco,Right Center Forward,0.703372,True,0.16969335,fad244cf-0fdc-402b-88ee-e68e8b4d3529,Left Foot,Open Play,Off T,Normal,,,,,,,100.3,34.0,120.0,39.4,4.2
shot,752b77e8-0ac8-4636-91ca-b2922a0dac54,1317,1,00:33:57.742,33,57,78,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.724953,True,0.0721064,,Right Foot,Open Play,Off T,Normal,,,,,,,101.1,29.1,120.0,34.7,0.3
