event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,d5f5416e-a9ab-4d97-a90d-07f27c5523ee,348,1,00:06:55.168,6,55,13,Barcelona,From Corner,,Barcelona,Pedro González López,Left Center Midfield,1.487756,,0.03743591,548dd74e-4a23-4f99-8a74-5c5fb6161643,Left Foot,Open Play,Off T,Normal,,,,,,,98.9,42.8,120.0,29.0,4.0
shot,2dbc1f81-c139-4c1f-9e61-8a341d2674fb,467,1,00:09:11.887,9,11,17,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,0.0937,,0.082980126,aa5ccb23-a589-49a1-9a62-c2d821c61583,Left Foot,Open Play,Blocked,Normal,,,,,,,105.5,42.9,108.2,43.3,
shot,6bdf769f-183f-4057-a08d-b3b198d45ca6,497,1,00:09:32.039,9,32,17,Barcelona,Regular Play,,Barcelona,Antoine Griezmann,Right Center Forward,0.111788,,0.22195786,803aec25-3d7e-403d-b7fe-9637558ff221,Left Foot,Open Play,Saved,Normal,,,,True,,,116.5,31.4,118.3,35.5,0.1
shot,1c4fe2aa-ff26-4dc3-9fcb-d9da8c2c7f29,734,1,00:14:22.075,14,22,26,Barcelona,From Counter,,Barcelona,Ousmane Dembélé,Right Wing Back,0.570289,,0.02873947,13d4a8e2-89fc-4db4-afbe-dd838ae2d9de,Right Foot,Open Play,Saved,Normal,,,,,,,108.0,54.9,118.0,45.0,0.1
shot,c8d83d99-b837-4710-a965-1c722cb3fcbf,803,1,00:16:07.677,16,7,33,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,0.936565,,0.06290438,4f24dd96-c157-4ca8-aefa-4b288e9f22e6,Left Foot,Open Play,Off T,Normal,,,,,,,95.2,41.5,120.0,35.3,3.4
shot,7d566d58-a2cf-4ab5-b448-51109c180136,917,1,00:18:33.568,18,33,36,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,0.427341,,0.06951631,835fd8ce-0c3b-4375-ab91-025492792e0c,Left Foot,Open Play,Off T,Volley,True,,,,,,113.1,28.9,120.0,39.4,3.9
shot,25be0f47-7e8b-4fe9-9a7f-d26eadd2213a,1322,1,00:27:06.143,27,6,54,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,1.022955,,0.27273178,734a1eab-6518-4288-bb5a-872078dd6f72,Head,Open Play,Goal,Normal,,,,True,,,112.3,45.1,120.0,36.9,0.5
shot,b3824c3f-d0ff-4743-b4f9-5cce3ced2a4d,1424,1,00:30:32.266,30,32,59,Barcelona,From Corner,,Barcelona,Antoine Griezmann,Right Center Forward,2.079099,True,0.021799153,3cdb7f18-9803-4f8c-aed3-78e41d9485a1,Head,Open Play,Off T,Normal,,,,,,,108.0,31.0,120.0,54.0,0.2
shot,f1036950-aa25-46dc-8b26-61d4d1bb4a0e,1779,1,00:37:14.762,37,14,76,Celta Vigo,From Throw In,,Celta Vigo,Santiago Mina Lorenzo,Left Center Forward,0.995217,,0.044802357,85fe2c16-371f-48ba-8f56-981767a74c43,Right Foot,Open Play,Goal,Normal,,,,,,,97.2,37.6,120.0,37.8,0.2
shot,da914508-ce19-4c83-b176-c1f5d9151c56,1980,1,00:41:36.468,41,36,83,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,0.171114,,0.031410795,bf968834-c210-4b28-9295-43595ca3565e,Left Foot,Open Play,Blocked,Normal,,,,,,,97.4,45.4,100.8,44.1,
shot,7085533d-00f3-4072-9813-1ed7448950db,2540,2,00:08:13.319,53,13,108,Barcelona,Regular Play,,Barcelona,Moriba Kourouma Kourouma,Right Center Midfield,0.757809,,0.027161758,,Right Foot,Open Play,Off T,Normal,,,,,,,97.4,49.7,120.0,44.6,3.7
shot,307a7881-3c47-40d2-a526-65c4853d6ba4,2878,2,00:15:18.100,60,18,121,Barcelona,From Corner,,Barcelona,Ronald Federico Araújo da Silva,Right Center Back,0.347314,True,0.38531262,d19fc586-b0bb-4347-ba1d-f9e83701821e,Head,Open Play,Off T,Normal,,,,,,,117.8,38.0,120.0,38.3,3.4
shot,df54e162-36e1-47ac-a92b-09fbcf401401,2981,2,00:17:39.525,62,39,125,Barcelona,From Corner,,Barcelona,Ousmane Dembélé,Right Wing Back,0.11363,,0.027691556,23b179b9-9240-4228-b7cb-dfc8359024e0,Right Foot,Open Play,Blocked,Normal,,,,,,,99.8,51.3,103.3,50.2,
shot,0580d9d5-c6b0-4466-a974-5ac19e8adad7,3127,2,00:20:47.335,65,47,131,Barcelona,Regular Play,,Barcelona,Moriba Kourouma Kourouma,Right Center Midfield,1.971267,,0.06536924,18ddbc10-3c46-41dd-b5d9-abb2ba7e59d1,Head,Open Play,Off T,Normal,,,,,,,105.5,38.5,120.0,30.3,1.1
shot,54e51c43-fbb4-4933-b5bb-112ce67a9f25,3334,2,00:25:31.928,70,31,142,Celta Vigo,Regular Play,,Celta Vigo,Denis Suárez Fernández,Left Center Midfield,0.683075,,0.075845875,163a1a47-3451-4120-bbb3-85ee1971cf06,Right Foot,Open Play,Saved,Normal,,,,,,,102.4,30.5,118.0,36.9,0.6
shot,99644b59-89ff-4b7e-95af-ee1cf215a5b8,3392,2,00:26:28.719,71,28,151,Barcelona,From Throw In,,Barcelona,Ronald Federico Araújo da Silva,Center Back,1.050016,,0.0139454,9aadcdfe-6890-435f-8c5e-4734bba7b408,Right Foot,Open Play,Off T,Normal,,,,,,,88.1,50.9,120.0,48.2,2.3
shot,7669538d-461d-47d1-a990-28a1c21b7e18,3734,2,00:35:12.028,80,12,162,Barcelona,From Corner,,Barcelona,Jordi Alba Ramos,Left Wing Back,1.527208,True,0.11524918,19093c6e-05ca-4e78-ad2f-42fd8f6e4890,Left Foot,Open Play,Off T,Normal,True,,,,,,109.5,27.1,120.0,49.3,0.4
