event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,d93942ce-c88c-4ccc-93b5-c14069c92ac4,127,1,00:02:05.030,2,5,8,Real Sociedad,From Free Kick,,Real Sociedad,Rubén Pardo Gutiérrez,Right Center Midfield,0.0759,True,0.021502677,8e3fb8c7-96b5-4917-904d-fe08b120c490,Right Foot,Open Play,Blocked,Half Volley,,,,,,,95.8,37.4,96.6,37.6,
shot,28dff062-d0df-4bb4-888b-c6f8f8ba1a31,135,1,00:02:20.663,2,20,9,Barcelona,From Counter,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.1103,,0.2541947,9f79873b-144e-42ae-9ef2-cb288de6b644,Right Foot,Open Play,Saved,Normal,True,,,,,,102.6,26.4,104.3,27.8,0.0
shot,1db2af51-a6b7-4c5e-aff0-bcabb9489a4a,522,1,00:12:13.533,12,13,23,Barcelona,Regular Play,,Barcelona,Andrés Iniesta Luján,Left Center Midfield,0.7753,,0.3365441,4eda4b4a-efa5-48f7-b683-3d18aed0f4ca,Head,Open Play,Post,Normal,,,,True,,,110.6,41.8,119.9,36.0,0.7
shot,4247a108-4728-4efa-8c70-a5f52a4a209c,597,1,00:13:39.439,13,39,26,Real Sociedad,From Goal Kick,,Real Sociedad,Sergio Canales Madrazo,Right Midfield,1.2929,,0.024125902,,Left Foot,Open Play,Off T,Half Volley,,,,,,,94.1,52.1,120.0,33.0,2.7
shot,72e21e72-349b-4004-9884-7923dde1a40e,940,1,00:21:07.114,21,7,38,Barcelona,Regular Play,,Barcelona,Neymar da Silva Santos Junior,Left Wing,0.5375,True,0.31052846,645f7930-9d0f-467e-bd6c-cb7db37d4923,Left Foot,Open Play,Goal,Normal,True,,,,,,109.0,42.0,120.0,43.5,1.6
shot,17b9d6cd-d1f2-4fef-b32a-d41c5df9d005,1584,1,00:40:52.621,40,52,73,Barcelona,From Corner,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.6338,,0.07500034,6b22a4dd-6fe5-4f7c-b0e6-87aafb38654b,Right Foot,Open Play,Goal,Volley,True,,,,,,107.5,29.5,120.0,43.0,0.5
shot,0e276091-f8bf-45c3-aca0-ad663f6f181e,1897,2,00:01:56.156,46,56,97,Real Sociedad,Regular Play,,Real Sociedad,Yuri Berchiche Izeta,Left Back,0.1132,,0.018887907,83165cb3-aa2a-4631-83b4-3b3d4334bcb6,Left Foot,Open Play,Saved,Normal,,,,,,True,90.2,17.0,118.5,37.2,1.8
shot,761c8791-38ef-4a11-a954-eba6b4d9431a,2091,2,00:07:17.212,52,17,114,Barcelona,From Goal Kick,,Barcelona,Neymar da Silva Santos Junior,Left Wing,0.5667,,0.43662587,48516419-5d26-41ee-8112-3258768c8b24,Left Foot,Open Play,Goal,Normal,True,,,,,,110.5,38.9,120.0,37.0,0.0
shot,16e74823-e86a-4670-bb64-f6ca7ec18cfd,2319,2,00:13:18.644,58,18,124,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.644932,,0.075676344,5a268fed-df6d-4928-8b1d-3bd07dfccbfc,Left Foot,Open Play,Off T,Volley,True,,,,,,104.5,32.7,120.0,35.1,0.0
shot,fa6f0bdf-8be2-4b4d-95ff-2de791a10eb4,2331,2,00:14:04.133,59,4,126,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.53042,True,0.17249638,cfd2f478-5eff-416b-ae3b-b6f8e14daed7,Left Foot,Open Play,Saved,Half Volley,,,,,,,107.7,33.0,117.6,38.0,0.8
