event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,6a72c046-e58e-4c8b-a1cd-0b0c687998e0,720,1,00:12:17.873,12,17,23,Barcelona,From Free Kick,,Barcelona,Andrés Iniesta Luján,Left Wing,0.5304,,0.054315858,76b9ee7a-b098-4c9c-ab07-c8ca0b0e6205,Right Foot,Open Play,Saved,Normal,,,,,,,108.5,29.4,118.0,36.6,0.2
shot,b14475c4-30fb-4df2-84db-f0d069e26708,1219,1,00:21:49.944,21,49,50,Barcelona,From Corner,,Barcelona,Francesc Fàbregas i Soler,Left Center Midfield,0.5469,,0.030269433,,Right Foot,Open Play,Saved,Half Volley,True,,,,,,110.0,32.2,118.5,37.8,0.3
shot,75ac4771-6deb-4e65-9699-17587811a18d,1222,1,00:21:51.688,21,51,50,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.2378,,0.5953632,,Right Foot,Open Play,Goal,Half Volley,True,,,,,,114.5,40.8,120.0,41.9,0.4
shot,208c42b6-d155-4a86-a613-0e1d21addfc4,1312,1,00:24:25.280,24,25,55,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.7167,,0.39713922,922e5e2a-8039-4861-ac96-4d70f8bfee6e,Left Foot,Open Play,Goal,Lob,,,,,,True,111.6,36.3,120.0,39.2,2.1
shot,fb65aaf2-15fb-4f49-b869-d435ddabc23f,1387,1,00:27:12.084,27,12,62,Barcelona,From Throw In,,Barcelona,Pedro Eliezer Rodríguez Ledesma,Right Wing,1.211301,,0.02355113,17535c4e-784a-40b4-8641-7cc46dff5db1,Right Foot,Open Play,Off T,Normal,,,,,,,98.0,23.4,120.0,48.7,1.7
shot,4f448be9-1c2d-49c6-9eea-c2b4a43f11f4,1492,1,00:30:13.689,30,13,68,Barcelona,Regular Play,,Barcelona,Francesc Fàbregas i Soler,Left Center Midfield,1.1324,,0.028150601,,Right Foot,Open Play,Off T,Normal,,,,,,,95.6,33.7,120.0,35.0,3.4
shot,29be47ea-4e19-4fe6-a05a-4e9ddf7a461c,1542,1,00:31:19.401,31,19,71,Athletic Club,Regular Play,,Athletic Club,Óscar de Marcos Arana,Right Center Midfield,0.1303,True,0.013407853,3a87d596-44fb-4c60-895c-9567a410ef86,Right Foot,Open Play,Blocked,Normal,,,,,,,86.9,43.0,88.5,42.8,
shot,d3d9abb0-4811-4318-ab0d-886ab5a0e8f3,1654,1,00:35:35.688,35,35,80,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,1.1847,,0.09834879,,Left Foot,Free Kick,Off T,Normal,,,,,,,93.0,35.6,120.0,35.6,3.5
shot,f3f9cd4d-0bb8-4c00-a29a-05257c0506c7,1835,1,00:38:45.717,38,45,90,Barcelona,Regular Play,,Barcelona,Francesc Fàbregas i Soler,Left Center Midfield,0.5061,,0.1917704,ecbc0002-2ffb-4f67-acfd-be3575cb27a7,Right Foot,Open Play,Saved,Normal,,,,,,,104.5,38.6,118.1,38.7,1.0
shot,03c8d4bb-4e9e-4735-9eea-d0e6314f02f5,1972,1,00:42:24.173,42,24,93,Barcelona,Regular Play,,Barcelona,Andrés Iniesta Luján,Left Wing,0.5062,,0.3949159,6998789d-94d0-48a1-912b-edd815f62634,Right Foot,Open Play,Off T,Normal,True,,,,,,111.3,51.4,120.0,46.9,1.5
shot,1667a1a3-af33-42b8-b174-fc125832b766,2145,1,00:45:37.518,45,37,98,Barcelona,Regular Play,,Barcelona,Adriano Correia Claro,Right Back,0.48536,,0.34365797,a8fb0c85-584c-41d3-b78d-609de15ad449,Right Foot,Open Play,Goal,Normal,True,,,,,,113.8,50.2,120.0,39.5,2.4
shot,27ed93d6-ee83-477d-b984-d8192a63258e,2667,2,00:08:34.705,53,34,120,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.663299,,0.12544447,87bee7a8-0e42-4bc3-b459-ebe9b409351e,Left Foot,Open Play,Saved,Normal,,,,,,,103.8,46.1,117.8,39.2,0.4
shot,1ae626b0-eab7-4714-9f5d-790a322f7cec,2804,2,00:11:33.596,56,33,126,Barcelona,Regular Play,,Barcelona,Francesc Fàbregas i Soler,Left Center Midfield,0.6292,,0.24834019,9fc41546-704a-452c-aaca-3767e6553e3d,Right Foot,Open Play,Goal,Normal,,,,,,,109.1,49.7,120.0,41.5,1.2
