event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,26fe66f4-a67f-43d1-b7e9-c06ce515f423,1016,1,00:16:20.966,16,20,25,Atlético Madrid,Regular Play,,Atlético Madrid,Thomas Lemar,Left Midfield,0.561793,,0.032565657,b6d4280f-117d-4c43-babc-6fd2c4879f32,Left Foot,Open Play,Blocked,Normal,,,,,,,100.8,27.3,108.1,33.1,
shot,d9551553-9c13-48e8-b25b-0e47cb063fd1,1883,1,00:37:28.334,37,28,58,Barcelona,From Corner,,Barcelona,Arturo Erasmo Vidal Pardo,Left Midfield,0.479972,,0.040756512,,Left Foot,Open Play,Blocked,Normal,True,,,,,,102.6,49.9,107.4,46.7,
shot,6e92cd04-d1d0-41f7-b9f4-cb9c8b3f41bc,1950,1,00:39:59.716,39,59,60,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.891776,,0.060392737,,Left Foot,Free Kick,Off T,Normal,,,,,,,97.2,59.9,120.0,38.3,3.8
shot,4acfd91e-730d-4fc1-997e-f789f3f66087,2344,2,00:02:24.981,47,24,77,Barcelona,From Free Kick,,Barcelona,Arthur Henrique Ramos de Oliveira Melo,Left Center Midfield,0.336079,,0.046900112,,Right Foot,Open Play,Blocked,Half Volley,True,,,,,,100.5,36.1,109.7,36.9,
shot,32aa0fad-2fb5-41d4-bd26-5e1a2e6b6487,2793,2,00:10:32.653,55,32,92,Barcelona,From Goal Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.06899,,0.019789238,6c3395bb-b4ec-4f98-a530-d4fd235e570d,Left Foot,Open Play,Blocked,Normal,,,,,,,91.5,50.4,94.0,48.9,
shot,51b82ac7-32d4-4d48-aced-66939a46eac8,3561,2,00:31:54.168,76,54,121,Atlético Madrid,From Corner,,Atlético Madrid,Diego da Silva Costa,Left Center Forward,0.432021,True,0.03549693,2fde56c0-52b2-4077-b82d-96407a6df6f7,Head,Open Play,Goal,Normal,,,,,,,118.5,32.2,120.0,37.0,1.9
shot,fe5a49d5-d8f7-466e-a8e5-49686876ed16,3625,2,00:36:12.242,81,12,126,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,1.142468,,0.048725054,,Left Foot,Free Kick,Saved,Normal,,,,,,,94.0,52.5,119.3,42.8,1.8
shot,cecbfd33-c6da-41e4-b169-1a11fb090bf7,3650,2,00:37:39.866,82,39,130,Atlético Madrid,From Free Kick,,Atlético Madrid,Antoine Griezmann,Right Center Forward,1.243961,,0.07752695,,Left Foot,Free Kick,Off T,Normal,,,,,,,97.6,53.5,120.0,42.7,3.5
shot,ca7bcfaf-6eca-446f-9e0f-a6fcee09f97b,3797,2,00:41:45.401,86,45,137,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.347148,,0.055079196,,Left Foot,Free Kick,Blocked,Normal,,,,,,,91.9,41.2,100.1,41.9,
shot,d05690b2-18af-4f6e-8971-e2abe836368c,3916,2,00:44:16.759,89,16,142,Barcelona,From Throw In,,Barcelona,Ousmane Dembélé,Right Midfield,0.500035,,0.18414003,61077d51-ecad-4fd6-874e-735db74a3fcf,Left Foot,Open Play,Goal,Normal,,,,,,True,111.9,52.9,120.0,41.9,0.4
