event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,9fc55b19-549a-418a-8bd3-15facabe356a,269,1,00:05:29.952,5,29,13,Barcelona,From Free Kick,,Barcelona,Alexis Alejandro Sánchez Sánchez,Right Wing,0.6387,,0.031132383,,Right Foot,Open Play,Off T,Volley,True,,,,,,110.8,54.9,120.0,42.2,3.5
shot,b79f321c-ebed-490f-8f63-18236db0158a,400,1,00:08:41.549,8,41,23,Osasuna,Regular Play,,Osasuna,Emiliano Daniel Armenteros,Left Wing,0.7693,,0.031736057,e8d3c2fd-7f01-481b-b9ab-67a479d751f4,Left Foot,Open Play,Saved,Normal,True,,,,,,99.9,22.8,119.0,36.9,0.4
shot,db3c5ec8-1cdd-4458-81cd-e45f37ee7929,472,1,00:10:19.933,10,19,26,Barcelona,Regular Play,,Barcelona,Pedro Eliezer Rodríguez Ledesma,Left Wing,1.1748,True,0.10704154,0b3bda1a-35c2-4a78-a1e7-80db9a0e97b0,Left Foot,Open Play,Off T,Half Volley,True,,,,,,109.7,45.1,120.0,48.3,0.6
shot,e693a271-a369-4cb3-ba83-5c81f697f6c9,549,1,00:13:25.233,13,25,33,Osasuna,From Corner,,Osasuna,Álvaro Cejudo Carmona,Right Wing,0.429233,,0.036882177,7fef4e9e-4939-4ae5-9dd0-0d075ee58b2e,Right Foot,Open Play,Off T,Volley,True,,,,,,106.9,52.4,120.0,49.0,5.0
shot,8b7dda76-6c28-4a19-ac3a-bdca3e9a6172,695,1,00:17:19.747,17,19,40,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,1.1084,True,0.4158526,fa3767c6-e84c-4994-9e1b-efe9ff433b9b,Left Foot,Open Play,Goal,Normal,True,,,,,,116.3,43.7,120.0,36.5,0.2
shot,433910b5-cb30-439c-8fe4-9742771335fa,768,1,00:19:25.605,19,25,42,Barcelona,Regular Play,,Barcelona,Alexis Alejandro Sánchez Sánchez,Right Wing,0.8788,True,0.39433077,84919538-2aa9-4e2a-b0cb-b6afd211df2f,Right Foot,Open Play,Off T,Lob,True,,,,,,111.7,47.8,120.0,38.3,3.5
shot,9773e7b6-5fd3-4b6b-a4ef-361b81b440e7,869,1,00:21:40.916,21,40,45,Barcelona,From Throw In,,Barcelona,Alexis Alejandro Sánchez Sánchez,Right Wing,0.65,True,0.69855404,74fa2a58-9a3e-44a6-a292-93ae67f3e4fb,Right Foot,Open Play,Goal,Normal,True,,,,,,113.2,40.3,120.0,43.6,0.2
shot,d5bc5063-f92e-40c4-b43d-3f4c6d1588bf,1391,1,00:33:34.725,33,34,68,Barcelona,From Throw In,,Barcelona,Andrés Iniesta Luján,Left Center Midfield,1.1483,,0.03640245,d5227f23-70c1-4a0d-a881-c17bdc6b8b58,Left Foot,Open Play,Goal,Normal,,,,,,,99.1,25.1,120.0,43.7,1.0
shot,868b7518-6bf5-44c8-ab6e-fa1ebaa96e17,1491,1,00:36:12.184,36,12,71,Barcelona,From Throw In,,Barcelona,Daniel Alves da Silva,Right Back,0.873,,0.014823395,cb7bc2dd-0128-4e79-a037-dbb497055737,Right Foot,Open Play,Saved,Normal,,,,,,,91.6,53.5,115.7,40.8,2.4
shot,617f0297-9dd7-490b-9d95-7a768885553c,1585,1,00:38:20.136,38,20,73,Barcelona,From Throw In,,Barcelona,Xavier Hernández Creus,Right Center Midfield,0.5455,,0.0932361,34016837-59e4-4419-a277-a465aaa4cfb7,Right Foot,Open Play,Saved,Volley,True,,,,,,108.7,48.8,118.9,43.5,1.6
