event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,31da2631-1ae8-4747-a41f-ed31e63c2af6,137,1,00:02:44.045,2,44,5,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.683514,,0.37012643,,Left Foot,Open Play,Off T,Normal,True,,,,,,109.4,43.9,120.0,38.1,4.6
shot,c7335008-7bd6-4809-8c5a-699f2537dfb8,426,1,00:08:00.768,8,0,13,Barcelona,Regular Play,,Deportivo La Coruna,Guilherme dos Santos Torres,Left Defensive Midfield,2.422766,,0.010443775,,Right Foot,Open Play,Off T,Normal,,,,,,,58.1,28.1,120.0,22.6,1.2
shot,c3b662bc-6708-4ec0-977e-f4f85f0c4fe6,471,1,00:09:34.722,9,34,16,Barcelona,From Corner,,Barcelona,José Paulo Bezzera Maciel Júnior,Left Center Midfield,0.19861,,0.045363802,d8548585-8e2e-4f1b-a1f5-dac9a5898568,Right Foot,Open Play,Blocked,Half Volley,,,,,,,96.0,41.0,99.9,40.9,
shot,dd8afc67-5874-47ec-ba62-2f2aef495b1d,488,1,00:09:58.525,9,58,17,Deportivo La Coruna,Regular Play,,Deportivo La Coruna,Celso Borges Mora,Right Defensive Midfield,0.737852,,0.038616225,,Left Foot,Open Play,Saved,Normal,,,,,,,103.1,36.9,118.3,39.9,0.5
shot,e345002c-e035-4626-b977-6a1758bc53e0,669,1,00:13:27.048,13,27,26,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.627491,,0.055058777,7c7090c3-1ab7-4adc-9ed3-4535f4c44321,Left Foot,Open Play,Saved,Normal,True,,,,,,102.0,30.0,118.0,39.0,0.2
shot,e14fa535-5f58-4466-941a-ea50ca3411ac,1281,1,00:25:49.056,25,49,51,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.068236,,0.1172304,43d5858e-ebbd-45a8-9490-641811293236,Left Foot,Open Play,Saved,Normal,,,,,,,107.4,31.1,117.6,39.1,0.5
shot,db3d6af9-bdaa-4e9b-ae22-6d27db8e1018,1308,1,00:26:27.532,26,27,52,Barcelona,Regular Play,,Barcelona,Aleix Vidal Parreu,Right Wing,0.248713,,0.18546836,37e30167-1d4f-48e1-b190-67ba1bf75128,Right Foot,Open Play,Saved,Volley,True,,,,,,113.4,48.0,118.6,40.4,1.8
shot,1e61918e-b1b4-4e6a-ad31-61d5e169364a,1316,1,00:27:05.408,27,5,53,Barcelona,From Corner,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.018762,,0.04603919,,Left Foot,Open Play,Blocked,Normal,,,,,,,115.7,50.2,116.4,48.5,
shot,da4fabfa-70ee-4bb2-b9a0-51aa5545578b,1337,1,00:28:04.919,28,4,55,Barcelona,From Corner,,Barcelona,Luis Alberto Suárez Díaz,Left Center Forward,0.167745,,0.78329563,56de7a7f-0aa2-48d5-8f52-9739a82ed92c,Right Foot,Open Play,Goal,Normal,True,,,,True,,115.6,43.2,120.0,42.2,1.7
shot,66de5eff-4c36-4d0c-9135-24392f4103bc,1609,1,00:36:07.474,36,7,72,Deportivo La Coruna,From Free Kick,,Deportivo La Coruna,Carles Gil de Pareja Vicent,Right Wing,0.723384,,0.013268217,2933ebc6-ea1b-4f1c-9ea0-753e6dc90389,Left Foot,Open Play,Saved,Normal,,,,,,,103.5,60.7,118.1,41.1,2.0
