event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,11a23942-83b3-4433-a36e-65eada9e9ee8,76,1,00:01:06.739,1,6,4,Barcelona,From Throw In,,Barcelona,Anderson Luís de Souza,Left Center Midfield,0.319,,0.027145384,c30e616e-08d7-407e-9df4-3697ee6b115a,Right Foot,Open Play,Blocked,Volley,True,,,,,,107.8,33.7,108.2,33.4,
shot,48eb8737-1fba-47be-9fd6-e0a78cd319a5,234,1,00:06:12.612,6,12,14,Barcelona,From Free Kick,,Barcelona,Thiago Motta,Right Center Midfield,0.3104,,0.020127796,,Left Foot,Free Kick,Blocked,Normal,,,,,,,74.1,17.9,79.7,19.9,
shot,2b417001-0af1-4cd4-a6a2-7f7ca5451b4c,337,1,00:07:49.805,7,49,18,Villarreal,Regular Play,,Villarreal,José Joaquín Moreno Verdú,Right Center Midfield,0.507685,,0.12375934,7b93eaf5-6e3e-493f-98ed-3bd007397971,Right Foot,Open Play,Off T,Backheel,True,,,,,,114.7,33.9,120.0,34.6,0.3
shot,6ef44e1c-2278-4c0f-bcf8-981fc726d049,523,1,00:13:40.730,13,40,31,Villarreal,From Corner,,Villarreal,José Joaquín Moreno Verdú,Right Center Midfield,0.572641,True,0.05116504,,Left Foot,Open Play,Off T,Half Volley,True,,,,,,109.1,32.7,120.0,40.8,4.3
shot,f0c192b6-1dbc-434c-919e-b1c017cf33a4,706,1,00:18:05.714,18,5,40,Barcelona,Regular Play,,Barcelona,Ronaldo de Assis Moreira,Left Wing,0.3494,,0.010145495,863d7bcd-20ac-4234-9ead-385b23fba3e2,Right Foot,Open Play,Blocked,Normal,,,,,,,84.7,36.5,94.1,38.6,
shot,e84f969e-0b1a-4e3f-9a50-0c75514b2b94,720,1,00:18:11.016,18,11,40,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.289977,,0.1463228,b0a1783e-5462-4c36-90c8-3cf96e745c20,Left Foot,Open Play,Off T,Lob,,,,,,,107.6,29.6,120.0,33.6,4.0
shot,192643a9-b078-4d92-857f-fb7e94f2fb9f,862,1,00:23:29.040,23,29,49,Barcelona,From Free Kick,,Barcelona,Ronaldo de Assis Moreira,Left Wing,1.1077,,0.0386869,,Right Foot,Free Kick,Saved,Normal,,,,,,,93.8,16.6,118.3,41.5,0.2
shot,8efefa35-eb2b-47c3-ba1e-f68c67249186,881,1,00:24:56.493,24,56,51,Villarreal,From Throw In,,Villarreal,Juan Román Riquelme,Right Wing,0.0927,,0.027197925,ff0d07ad-f5c6-487d-a942-7336c8f9833d,Right Foot,Open Play,Blocked,Normal,,,,,,,93.8,26.0,95.7,26.7,
shot,b728ade2-a8ef-496d-b4e3-31ba583c0049,1106,1,00:29:47.923,29,47,66,Barcelona,From Free Kick,,Barcelona,Ronaldo de Assis Moreira,Left Wing,1.2929,,0.016864099,,Right Foot,Free Kick,Off T,Normal,,,,,,,85.6,28.6,120.0,41.3,3.4
shot,80a50406-ac74-49b4-854b-fca01c8b440f,2010,2,00:07:15.225,52,15,120,Barcelona,From Free Kick,,Barcelona,"Samuel Eto""o Fils",Center Forward,1.1336,,0.01579833,,Right Foot,Open Play,Saved,Normal,,,,,,,91.6,52.1,117.3,42.3,0.2
shot,382a069c-75f5-4325-b21f-6a0e7c37ca44,2295,2,00:15:20.893,60,20,141,Barcelona,From Free Kick,,Barcelona,Ronaldo de Assis Moreira,Left Wing,0.3959,,0.06629528,,Right Foot,Free Kick,Blocked,Normal,,,,,,,92.7,32.5,101.4,36.8,
shot,08d0aebc-17bd-44e2-8f62-45544d22be37,2300,2,00:15:24.864,60,24,141,Barcelona,From Free Kick,,Barcelona,Oleguer Presas Renom,Right Back,0.2174,,0.0117828725,,Right Foot,Open Play,Blocked,Half Volley,True,,,,,,88.8,46.6,90.5,46.4,
shot,791c4efc-a764-459c-8614-d16193f86e46,2372,2,00:17:27.477,62,27,147,Barcelona,Regular Play,,Barcelona,Anderson Luís de Souza,Left Center Midfield,1.98938,,0.038649164,b1fcc7e5-ed1a-4c41-b8bf-1e04a205a3fb,Right Foot,Open Play,Goal,Normal,,,,,,,90.3,48.3,120.0,39.9,0.4
shot,55b7071b-0cb5-40fe-8259-b0c80d8d7416,2470,2,00:20:00.408,65,0,152,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.771527,,0.072469346,,Left Foot,Open Play,Saved,Normal,True,,,,,,97.7,34.0,114.3,41.9,0.3
shot,71a89701-9fad-492b-aa12-1d6a0e3e886e,2670,2,00:26:01.816,71,1,163,Villarreal,From Free Kick,,Villarreal,José María Romero Poyón,Center Attacking Midfield,0.7742,,0.12133777,1d8efa39-5e53-4ed4-ae91-cecd7e60fd72,Head,Open Play,Saved,Normal,,,,,,,112.1,34.6,118.8,40.9,1.5
shot,5dd41892-6209-48d0-b0ad-f4833772e6ef,3412,2,00:44:41.734,89,41,200,Villarreal,From Free Kick,,Villarreal,Juan Román Riquelme,Right Wing,0.9442,,0.032544315,,Right Foot,Free Kick,Off T,Normal,,,,,,,99.8,22.3,120.0,36.2,3.7
