event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,8f0a1151-5c7a-4b12-b5c0-bf7c6527a800,206,1,00:04:18.398,4,18,12,Levante,From Throw In,,Levante,Emmanuel Okyere Boateng,Center Forward,0.61511,,0.0582072,2e21ff9c-6dbb-4795-a024-08bcf67c7550,Right Foot,Open Play,Saved,Normal,,,,True,,,108.8,54.9,119.0,43.2,0.1
shot,3b04676d-e142-4f83-a3da-7fd2f776012c,423,1,00:09:19.099,9,19,24,Barcelona,From Corner,,Barcelona,Thomas Vermaelen,Left Center Back,0.909826,True,0.034917045,ec826a05-9dd1-400a-8b7f-291d195ca526,Head,Open Play,Off T,Normal,,,,,,,111.2,38.5,120.0,34.8,3.5
shot,1187c90d-f112-4291-a586-5de2109970bc,446,1,00:09:59.092,9,59,26,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,1.209854,True,0.039440263,046d50f9-6b17-4d6d-8339-ed4d445093c7,Left Foot,Open Play,Off T,Normal,,,,,,,94.8,39.7,120.0,34.4,0.2
shot,66d10643-5912-4d5e-9291-a9cc77682e76,619,1,00:12:49.977,12,49,33,Levante,From Free Kick,,Levante,Rubén Rochina Naixes,Right Wing,0.465011,,0.015263056,1efaf95e-c19f-43e1-85c5-000aa4e892f6,Left Foot,Open Play,Blocked,Normal,,,,,,,90.5,54.0,102.0,48.7,
shot,a7b49e4b-d1d0-4aea-a715-a56cd90d16c7,1195,1,00:25:30.034,25,30,57,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,1.125631,,0.06838559,,Left Foot,Free Kick,Saved,Normal,,,,,,,95.1,51.1,120.0,42.9,2.4
shot,7b61745d-a860-453a-ad90-ceeca8f43fd1,1269,1,00:27:22.198,27,22,64,Levante,From Free Kick,,Levante,Rubén Rochina Naixes,Right Wing,0.389849,,0.038957883,,Left Foot,Free Kick,Blocked,Normal,,,,,,,92.5,53.7,103.4,50.1,
shot,3b873482-17ea-4abb-b520-e926d49edad1,1444,1,00:32:26.321,32,26,75,Levante,Regular Play,,Levante,Emmanuel Okyere Boateng,Center Forward,0.71364,,0.20535813,,Left Foot,Open Play,Post,Normal,,,,,,,112.8,31.6,120.0,38.4,2.8
shot,5838a1f0-8a04-4e54-8091-adbfdc453a2d,1449,1,00:32:31.616,32,31,75,Levante,Regular Play,,Levante,José Ángel Gómez Campaña,Right Center Midfield,0.15723,,0.04991019,,Left Foot,Open Play,Blocked,Normal,,,,,,,107.9,29.4,109.0,30.0,
shot,a4c46021-cc78-4bf1-93fa-900ffe5b8f71,1465,1,00:32:54.646,32,54,76,Levante,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,0.049852,,0.04658051,,Left Foot,Open Play,Blocked,Normal,,,,,,,101.1,32.1,102.0,32.4,
shot,7763c4e1-97b0-4882-8dc2-cca46cef0f4c,1569,1,00:34:26.144,34,26,79,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Right Center Forward,0.761201,,0.27706242,4ff9bf24-eae0-4e7e-8ec5-03b5dd341736,Right Foot,Open Play,Goal,Volley,True,,,,,,110.0,41.0,120.0,36.7,2.1
shot,7e5c1213-114d-4991-8612-8f5541ddc37d,1603,1,00:37:14.562,37,14,81,Levante,From Free Kick,,Levante,José Luis Morales Nogales,Left Wing,0.149551,,0.027994193,53b5d759-621b-45e7-945a-e432939ec251,Right Foot,Open Play,Blocked,Normal,,,,,,,113.2,26.7,114.1,28.7,
shot,c3303aa8-f3fc-464d-9c88-20bf54f75f78,1619,1,00:37:52.006,37,52,82,Levante,From Corner,,Levante,Erick Cathriel Cabaco Almada,Right Center Back,1.19563,True,0.12055995,23b78717-53d8-4ebf-b8d8-8edcdc06c21f,Head,Open Play,Saved,Normal,,,,,,,113.0,38.1,120.0,37.3,2.3
shot,8e339d40-86b1-463c-a08f-50ab4e4d4273,1798,1,00:41:23.218,41,23,90,Barcelona,Regular Play,,Barcelona,Ivan Rakitić,Right Center Midfield,1.554485,,0.014539247,998543ef-6e66-49b7-a7b5-37f65becff0b,Right Foot,Open Play,Off T,Normal,,,,,,,90.1,60.1,120.0,32.1,1.0
