event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,f268a29f-5884-409d-b21c-178f5eb988f3,301,1,00:05:22.203,5,22,17,Real Madrid,Regular Play,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Right Wing,0.770239,,0.03346838,636d5058-e066-4283-9fa1-3abeaecb6eef,Left Foot,Open Play,Saved,Normal,,,,,,,100.1,55.0,119.3,41.0,0.2
shot,e4d5fd7d-7772-445b-8f2f-8ff17a15b1e6,493,1,00:09:15.263,9,15,26,Barcelona,Regular Play,,Barcelona,Andrés Iniesta Luján,Left Center Midfield,0.4199,,0.026287522,ecb39ef3-a76c-4060-8a52-a5d778bc45cd,Left Foot,Open Play,Blocked,Normal,,,,,,,95.6,26.0,105.6,33.1,
shot,48c186b9-30c5-409b-bde1-8dee1a8f68cc,549,1,00:10:08.368,10,8,27,Barcelona,From Throw In,,Barcelona,Luis Alberto Suárez Díaz,Right Center Forward,0.8135,,0.061774977,dcb07850-aa24-40a9-9dab-a6c7b755f831,Right Foot,Open Play,Off T,Normal,,,,,,,98.2,45.5,120.0,32.9,0.2
shot,01fc914c-1e2c-4741-a247-c945b096c6b9,921,1,00:17:54.455,17,54,40,Real Madrid,From Counter,,Real Madrid,Karim Benzema,Center Forward,0.729778,,0.043837454,05c1f336-6943-4d6a-beb1-c2b5be05a1c2,Right Foot,Open Play,Saved,Normal,True,,,,,,102.7,53.3,114.4,42.6,0.2
shot,c1b32635-b1a4-4b93-b3b8-636482319244,930,1,00:18:06.775,18,6,44,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Right Center Forward,1.127467,,0.092150174,07821c2b-dd5d-45d4-b23f-6f764599e2ce,Right Foot,Open Play,Off T,Half Volley,True,,,,,,96.5,38.7,120.0,51.9,0.2
shot,e6027f30-a99f-43e3-85a3-eb461c274c31,995,1,00:19:46.043,19,46,47,Real Madrid,Regular Play,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.6257,,0.028066695,ea2b3d4c-a09c-431b-aac4-bd251df6b05c,Right Foot,Open Play,Saved,Normal,,,,,,,105.5,21.4,117.9,36.1,0.2
shot,a5bc5d74-ccac-4c9a-a47f-468b0398f224,1039,1,00:21:47.608,21,47,50,Real Madrid,Regular Play,,Real Madrid,Gareth Frank Bale,Right Wing,0.553842,,0.104272544,a61efecf-7c84-4618-8b98-5a959648a9d7,Left Foot,Open Play,Saved,Volley,True,,,,,,98.2,41.1,111.7,38.3,0.4
shot,36db4be9-1649-4066-99b4-4e5c03943e1e,1115,1,00:23:17.475,23,17,63,Real Madrid,Regular Play,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.752156,,0.059373155,79ed25e3-93f0-4fa4-9443-b69860d61c1d,Left Foot,Open Play,Off T,Normal,,,,,,,100.8,48.0,120.0,30.9,3.8
shot,48e4b262-58d7-44f3-aaca-4b3ac14a8f1d,1321,1,00:27:45.413,27,45,71,Real Madrid,From Corner,,Real Madrid,Sergio Ramos García,Left Center Back,0.14448,,0.24667707,9f95d915-f5a5-441a-b786-40a186956c7f,Right Foot,Open Play,Post,Volley,True,,,,,,116.9,46.8,120.0,43.8,1.3
shot,93ba7c2f-ae5b-4d99-b96c-074b141846e2,1324,1,00:27:46.929,27,46,71,Real Madrid,From Corner,,Real Madrid,Carlos Henrique Casimiro,Center Defensive Midfield,0.92958,,0.5216702,,Left Foot,Open Play,Goal,Normal,True,,,,True,,116.1,35.1,120.0,40.0,0.1
shot,8fff528a-fca9-42e6-8711-9df64dc5f7f6,1487,1,00:32:07.943,32,7,73,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.6409,,0.45264095,87ad8d80-be7e-4852-80b5-cafd3d96a938,Left Foot,Open Play,Goal,Normal,,,,,,,108.2,39.4,120.0,42.7,0.2
shot,42179698-d035-4677-a11a-38ac818ccaf3,1499,1,00:33:21.695,33,21,74,Real Madrid,From Kick Off,,Real Madrid,Gareth Frank Bale,Right Wing,0.533723,,0.022372471,2113e7a7-2f80-4608-9a99-8bbba896a628,Left Foot,Open Play,Off T,Normal,,,,,,,91.6,48.6,120.0,29.4,6.3
shot,e64da18f-0517-4846-a9a9-ca18703e918c,1580,1,00:35:16.833,35,16,78,Real Madrid,From Goal Kick,,Real Madrid,Luka Modrić,Right Center Midfield,0.958697,,0.02067307,71108c41-0c7b-485d-8d6c-35f5fe422ca8,Left Foot,Open Play,Saved,Normal,,,,,,,90.2,40.7,118.0,40.8,1.3
shot,fc269d87-74e1-4888-9091-1b5ea178a9a4,1687,1,00:40:05.143,40,5,84,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1.008019,,0.06312927,,Left Foot,Open Play,Off T,Normal,,,,,,,103.2,35.1,120.0,33.8,2.4
shot,cddb8299-f3b9-4c0d-ab98-d4de622bef9c,1810,1,00:42:39.914,42,39,88,Barcelona,Regular Play,,Barcelona,Jordi Alba Ramos,Left Back,0.704851,,0.11163491,1e4e853b-651b-4188-b367-e317533b711f,Left Foot,Open Play,Off T,Volley,True,,,,,,110.2,35.1,120.0,34.3,2.7
shot,dbc9a1c6-c542-4319-88ce-1ce1e135ad7e,1967,1,00:47:16.207,47,16,98,Barcelona,From Corner,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.38821,,0.094851404,f9c346ed-b439-4eed-b591-5e8567f1ee73,Left Foot,Open Play,Off T,Volley,True,,,,,,116.9,47.1,120.0,47.1,2.2
shot,b8f7bb88-fdac-4091-8d53-80f14367c112,2105,2,00:02:52.880,47,52,104,Real Madrid,From Corner,,Real Madrid,Toni Kroos,Left Center Midfield,0.8604,,0.044598278,6294ca6c-895f-41b0-8998-ffd99e3c7b15,Left Foot,Open Play,Saved,Normal,True,,,,,,97.6,32.4,118.2,36.2,0.9
shot,248619cb-2176-4ae4-ba25-a3edf643fec6,2257,2,00:07:55.590,52,55,116,Real Madrid,Regular Play,,Real Madrid,Karim Benzema,Center Forward,0.228,,0.24589474,1ce753dd-94d2-4f89-bddd-518914c88a1e,Head,Open Play,Saved,Normal,,,,,,,114.7,36.1,117.8,38.2,0.5
shot,f5efc427-110c-4c0a-a201-d0668464c4d4,2266,2,00:08:28.498,53,28,117,Real Madrid,From Corner,,Real Madrid,Daniel Carvajal Ramos,Right Back,1.180249,,0.012761747,,Right Foot,Open Play,Off T,Volley,True,,,,,,93.2,47.5,120.0,45.0,3.5
shot,a611f94c-e4e5-4b0d-92d8-b4fd7cf8f5b4,2352,2,00:10:13.992,55,13,122,Barcelona,Regular Play,,Barcelona,Francisco Alcácer García,Left Center Forward,0.5709,,0.29441968,7020c983-0b03-45c4-8550-0e256b91b284,Right Foot,Open Play,Saved,Normal,,,,,,,104.6,40.4,113.7,39.8,0.2
shot,cf3fe5c3-daf2-49be-97b9-4454f3126fcc,2370,2,00:11:29.252,56,29,125,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1.8804,,0.035095222,,Left Foot,Free Kick,Off T,Normal,,,,,,,88.0,51.4,120.0,44.7,5.1
shot,97e5b245-e918-416e-b2c0-53f421b399e9,2435,2,00:13:20.031,58,20,128,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.8018,True,0.10795346,7e9ccd6e-643d-46a4-a83e-e850ae821b4f,Head,Open Play,Saved,Normal,,,,,,,112.1,37.1,119.5,41.4,1.3
shot,ce787ad3-20e1-4291-893d-3ed189bf0520,2748,2,00:20:51.211,65,51,144,Real Madrid,From Free Kick,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.444646,,0.054601587,b353d765-3026-425a-b2c3-a737ca49c251,Right Foot,Open Play,Off T,Overhead Kick,True,,,,,,112.3,30.9,120.0,22.6,0.3
shot,891fd017-2479-47e2-8fd9-0d6082c31085,2775,2,00:21:40.062,66,40,146,Real Madrid,Regular Play,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.761423,,0.6071543,301bc623-0114-4102-a392-16e881870a52,Right Foot,Open Play,Off T,Normal,True,,,,,,112.7,36.2,120.0,42.4,5.5
shot,c5424352-954b-48a7-abb6-308601c5eef0,2794,2,00:22:21.588,67,21,147,Barcelona,From Goal Kick,,Barcelona,Luis Alberto Suárez Díaz,Right Center Forward,0.4352,,0.31207606,4e7fddbf-731a-48ec-a9e9-f64ff8b7000e,Right Foot,Open Play,Saved,Half Volley,True,,,,,,114.4,47.3,117.7,44.2,1.5
shot,165567f7-ee7a-4e3b-baac-be258210b456,2834,2,00:23:22.703,68,22,148,Barcelona,From Corner,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1.2004,True,0.024665406,1eca2a58-ef5b-4332-b4d3-549c9a9b9830,Left Foot,Open Play,Saved,Normal,,,,,,,97.0,26.7,116.4,37.7,2.2
shot,51ac3753-f17a-42b5-8d51-37163d4f2619,2965,2,00:26:21.674,71,21,154,Real Madrid,Regular Play,,Real Madrid,Marco Asensio Willemsen,Right Wing,0.48447,,0.0493953,2fb6119a-edf9-4926-93fd-be996ec88518,Left Foot,Open Play,Saved,Normal,,,,,,,108.6,55.2,118.7,44.0,0.2
shot,5ae93db7-2691-404d-9b18-dffe2b685625,3008,2,00:27:10.314,72,10,161,Barcelona,Regular Play,,Barcelona,Ivan Rakitić,Right Center Midfield,1.1552,,0.025133003,,Left Foot,Open Play,Goal,Normal,,,,,,,96.6,48.5,120.0,37.3,1.7
shot,c3a41bdf-725c-42b8-a159-e6fb73b38415,3048,2,00:29:30.660,74,30,164,Real Madrid,From Throw In,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.867674,,0.06715118,26dda079-caa7-4f74-89c0-c5696f41a2c3,Right Foot,Open Play,Saved,Normal,True,,,,,,100.4,36.0,117.2,40.8,0.2
shot,8ab0b40a-36f9-489e-8b63-24f8fad1ee28,3240,2,00:34:39.282,79,39,177,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.289499,,0.4450414,e30432c2-6bf5-4869-9ea7-7b348a2fc08b,Left Foot,Open Play,Saved,Normal,,,,,,,111.5,37.8,115.0,38.2,1.0
shot,1d9d27e8-af88-44ac-8db7-5310edc8ec99,3253,2,00:35:11.812,80,11,179,Real Madrid,From Free Kick,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.979144,,0.05370343,141f0dd0-d06b-4290-940b-e9bd170c8756,Right Foot,Open Play,Off T,Normal,True,,,,,,113.8,54.1,120.0,32.2,4.2
shot,d4471e81-ac06-486f-b379-3d62ec2e6513,3320,2,00:37:08.545,82,8,182,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.817743,,0.06275118,,Left Foot,Open Play,Saved,Normal,,,,,,,96.0,46.4,115.9,42.4,0.9
shot,a80f0872-bbec-4041-8978-d5549b895305,3374,2,00:38:46.802,83,46,186,Real Madrid,Regular Play,,Real Madrid,James David Rodríguez Rubio,Center Forward,1.036352,,0.025023706,9a3e0f53-a7fc-4ad5-a4c6-f4a262fe712c,Left Foot,Open Play,Saved,Normal,,,,,,,92.5,53.4,117.4,40.7,0.7
shot,3c0a058a-9aed-4625-ac6b-aca49eea1b17,3439,2,00:39:59.424,84,59,189,Real Madrid,From Throw In,,Real Madrid,James David Rodríguez Rubio,Center Forward,0.620506,,0.23571947,4d877dd7-37a9-4d4e-965c-b2efc8a4857d,Left Foot,Open Play,Goal,Half Volley,True,,,,,,114.2,33.7,120.0,37.6,2.0
shot,2d7c54b9-bf57-466b-bbb3-0ffedc6c4288,3474,2,00:41:36.171,86,36,191,Real Madrid,Regular Play,,Real Madrid,James David Rodríguez Rubio,Center Forward,0.45452,,0.034127325,,Left Foot,Open Play,Saved,Normal,True,,,,,,113.5,24.6,118.4,37.2,0.6
shot,b56d12cc-d503-4159-8311-39d68a8f466b,3549,2,00:43:50.954,88,50,198,Real Madrid,Regular Play,,Real Madrid,Marco Asensio Willemsen,Right Wing,0.4786,,0.055496756,9f48e5b8-f05f-41c5-ba80-822a496e2b79,Left Foot,Open Play,Saved,Normal,,,,True,,,109.5,24.5,118.5,35.3,0.8
shot,7d5925ee-bebb-43fb-b8d6-a27e3b43dbfe,3556,2,00:43:57.551,88,57,198,Real Madrid,Regular Play,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.706703,,0.24532774,794c161f-65ad-4a24-97ed-281fe5d1a35f,Left Foot,Open Play,Off T,Half Volley,True,,,,,,110.4,43.9,120.0,27.2,0.1
shot,87a8d477-9df0-4580-9335-481f6ec22060,3663,2,00:46:47.260,91,47,203,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.6669,,0.12840495,3858221e-ea9d-4fc1-8c43-589d6f534961,Left Foot,Open Play,Goal,Normal,True,,,,,,104.7,37.3,120.0,36.5,1.0
