event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,b64d1be3-c57d-46bd-bd56-3df57935910b,185,1,00:03:46.688,3,46,12,Rayo Vallecano,From Throw In,,Rayo Vallecano,Adrián Embarba Blázquez,Right Wing,0.6232,True,0.13453028,a9581ff9-f464-4bf7-adde-baef7616c253,Left Foot,Open Play,Saved,Normal,True,,,,,,95.7,40.4,111.6,39.9,2.2
shot,96d99f81-1d25-4c09-8309-c2bf8e82bf76,612,1,00:14:57.321,14,57,31,Barcelona,From Free Kick,,Rayo Vallecano,Adrián Embarba Blázquez,Right Wing,0.8626,,0.03448354,,Right Foot,Open Play,Saved,Normal,,,,,,,97.1,41.0,118.3,38.7,0.2
shot,5add4d9b-cf80-4c96-b2ef-4eb4726f8e5b,772,1,00:20:30.464,20,30,46,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.3981,,0.1356177,cb452c40-fef5-4383-8ed6-43f78ba10008,Left Foot,Open Play,Saved,Normal,,,,,,,111.9,28.4,118.6,35.8,0.5
shot,d244d477-a549-4ff7-8305-fd3f79972cc3,788,1,00:21:11.359,21,11,47,Barcelona,From Corner,,Barcelona,Ivan Rakitić,Left Center Midfield,0.4926,,0.27618235,,Right Foot,Open Play,Goal,Half Volley,,,,,,,112.7,32.1,120.0,37.3,0.2
shot,ca0da3a9-7889-4b8a-9cb6-94132818006f,836,1,00:22:58.083,22,58,50,Barcelona,From Counter,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.5836,,0.36235386,83416872-0ea2-41f7-a74a-a6e6e0be7622,Left Foot,Open Play,Goal,Normal,True,,,,,,108.3,34.4,120.0,36.4,0.1
shot,62830edd-47bc-406c-92dc-2e884d6103d7,900,1,00:25:39.371,25,39,54,Barcelona,Regular Play,,Barcelona,Andrés Iniesta Luján,Right Center Midfield,0.192,,0.11113834,63f74797-9391-472a-9995-a23da364043f,Left Foot,Open Play,Blocked,Normal,True,,,,,,99.6,36.4,103.9,37.7,
shot,0888d295-4165-4dc2-992c-58edac90ef0e,930,1,00:26:40.807,26,40,57,Barcelona,From Free Kick,,Barcelona,Jérémy Mathieu,Left Back,0.2266,,0.03651072,,Right Foot,Open Play,Blocked,Normal,True,,,,,,104.8,46.7,108.3,45.1,
shot,77366e16-8301-46c6-a6d7-b3dea50f657b,1069,1,00:30:24.858,30,24,67,Barcelona,Regular Play,,Barcelona,Neymar da Silva Santos Junior,Left Wing,1.1511,True,0.02141444,e4344e79-b613-4b5a-b0ec-8078ecb86796,Left Foot,Open Play,Off T,Normal,True,,,,,,106.4,21.4,120.0,35.4,2.4
shot,8f05f57a-22aa-4587-b308-9514cd52cc54,1412,1,00:37:59.138,37,59,86,Barcelona,From Free Kick,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.5038,,0.2553542,,Left Foot,Open Play,Saved Off Target,Volley,True,,,,,,95.4,29.3,104.3,30.7,2.0
shot,e38fb37d-0aaa-4af0-9f74-5be6a303ac76,1523,1,00:40:44.630,40,44,93,Rayo Vallecano,Regular Play,,Rayo Vallecano,Joaquín José Marín Ruiz,Right Back,1.070819,,0.17001124,6f84d282-c5d6-483e-a149-94256bc35d96,Head,Open Play,Off T,Normal,,,,,,,111.3,36.4,120.0,48.5,0.5
shot,dda1f509-d0e1-4224-b2aa-b40c682d8ffb,1570,1,00:44:48.800,44,48,97,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.0754,True,0.030530522,e625fb5b-c263-4a53-8e3d-9e69bcf5ccd5,Head,Open Play,Blocked,Normal,,,,,,,109.0,41.6,109.6,41.5,
shot,8d02ca6a-6ccf-4b6c-8517-b1f7a817e89e,1576,1,00:45:07.060,45,7,98,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.9607,True,0.021856869,f11d8d6b-504d-4f14-bdb1-53d545557b48,Head,Open Play,Wayward,Normal,,,,,,,109.5,40.4,113.3,6.2,
shot,4ac3b0b8-c557-443d-9f4e-6f080be4ee5d,1727,2,00:01:35.513,46,35,107,Barcelona,From Throw In,,Barcelona,Neymar da Silva Santos Junior,Left Wing,1.625117,,0.2496496,61caa1b0-3e5f-4eed-aa37-4e7e4d4bc272,Left Foot,Open Play,Off T,Volley,True,,,,,,112.6,30.9,120.0,44.4,0.1
shot,c6611f0f-8400-430d-9256-a992b1e1c203,1964,2,00:06:38.397,51,38,119,Barcelona,From Throw In,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.711777,,0.20009767,4aa4ecd2-d7b1-4bd9-96fa-bbd3603155a8,Right Foot,Open Play,Off T,Normal,True,,,,,,115.2,51.8,120.0,35.2,0.2
shot,3163d7c8-832f-43ac-88d6-71378f69db77,2008,2,00:07:51.179,52,51,122,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.485,,0.20077829,,Right Foot,Open Play,Post,Half Volley,True,,,,,,108.2,45.2,120.0,44.1,0.2
shot,be1eb084-5396-4f84-a01c-151f0640035d,2012,2,00:07:52.963,52,52,122,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.704182,,0.26006055,,Left Foot,Open Play,Goal,Normal,,,,,,,109.8,39.3,120.0,39.4,0.1
shot,d3c0a28e-b2ad-4d9a-8b23-a8dc43061c0b,2065,2,00:09:22.553,54,22,124,Barcelona,Regular Play,,Barcelona,Neymar da Silva Santos Junior,Left Wing,0.239129,,0.16930737,40380b96-cc4e-447c-a950-0ccf7f2fe8a1,Left Foot,Open Play,Off T,Normal,,,,True,,,115.2,31.2,120.0,35.6,1.0
shot,0aa3ddc0-e260-4e23-96d3-42e2d0bef1a2,2121,2,00:11:14.003,56,14,127,Rayo Vallecano,Regular Play,,Rayo Vallecano,Alberto Mateus Contreiras Gonçalves,Center Forward,0.7523,,0.7135163,3d344fdc-ee03-4c02-9bdc-f92d7f2ae549,Head,Open Play,Goal,Normal,,,,,True,,117.9,41.1,120.0,41.2,1.3
