event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,bfe10adb-a44f-4e12-95f1-6935206cc003,406,1,00:09:21.195,9,21,20,Atlético Madrid,From Throw In,,Atlético Madrid,Diego Forlán Corazo,Right Center Forward,1.5606,,0.023262544,93dae5a6-c63a-4689-b8ff-54b77929c80c,Left Foot,Open Play,Saved,Normal,True,,,,,,88.0,38.7,117.4,42.1,0.0
shot,e4c7c53d-0bfd-41af-a5f4-9f7d735e93b9,621,1,00:12:43.955,12,43,39,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Left Center Forward,0.8611,,0.20491919,6b3961f7-57b7-4836-9769-4e21a1e05845,Right Foot,Open Play,Post,Normal,True,,,,,,98.2,39.1,120.0,44.1,0.3
shot,9b7eac95-c388-4786-a1eb-7217324d19bd,627,1,00:12:53.393,12,53,39,Barcelona,From Counter,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1.152179,,0.32435542,82dec348-75a4-4da2-bba7-c9241967464a,Left Foot,Open Play,Goal,Normal,True,,,,,,111.9,47.7,120.0,36.4,0.2
shot,117e1bea-79b9-4a33-981a-28a42f08428a,763,1,00:18:24.840,18,24,47,Barcelona,From Free Kick,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.39,,0.07463514,a4ad76ac-3ba7-47bf-9db1-8cb5fe2ccf61,Right Foot,Open Play,Off T,Volley,True,,,,,,111.0,34.6,120.0,40.4,5.1
shot,aaf6abe8-dbdf-4972-bb0e-960fee96fd05,1018,1,00:23:29.916,23,29,56,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.7086,,0.19586311,331629c2-996c-4bae-a374-2222e254a9f0,Left Foot,Open Play,Off T,Half Volley,True,,,,,,111.6,33.2,120.0,39.3,5.5
shot,7e09e527-dab1-4c06-b96e-9b796ea48b60,1061,1,00:24:57.530,24,57,59,Atlético Madrid,From Corner,,Atlético Madrid,Raúl García Escudero,Right Defensive Midfield,0.8207,,0.13325436,c369d6b4-3905-43fc-a279-ecb2383d7fd3,Head,Open Play,Goal,Normal,,,,,,,112.6,39.1,120.0,43.5,0.2
shot,0609277d-b929-4c09-88aa-7c06db8621a5,1231,1,00:31:26.853,31,26,70,Atlético Madrid,From Free Kick,,Atlético Madrid,Diego Forlán Corazo,Right Center Forward,0.5234,,0.013997255,,Left Foot,Open Play,Blocked,Half Volley,True,,,,,,92.1,33.6,104.9,35.2,
shot,a4ebf575-fbb9-4c64-bebc-1b38daade639,1242,1,00:31:40.738,31,40,71,Barcelona,From Counter,,Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,0.1435,,0.044835057,178a59aa-9a23-457c-926d-ce9d16f4ac19,Left Foot,Open Play,Blocked,Normal,,,,,,,108.2,29.2,109.2,30.1,
shot,f67220bd-fadc-479f-9dd3-276e7d9ae710,1248,1,00:32:08.118,32,8,72,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.617621,,0.084620856,00c9df6d-f0c4-451c-8278-d673830ef56b,Right Foot,Open Play,Goal,Half Volley,,,,,,,114.3,49.7,120.0,36.5,0.2
shot,1601c429-e35b-437c-a42f-a7951f21dbe3,1555,1,00:40:24.776,40,24,90,Atlético Madrid,From Free Kick,,Atlético Madrid,Tomáš Ujfaluši,Right Back,1.1372,True,0.07241329,386156fb-bb9c-48b3-89d7-c15fe712314d,Head,Open Play,Saved,Normal,,,,,,,109.0,43.7,118.6,40.1,2.0
shot,e36167bc-bf58-414e-8166-7f127635e7ed,1950,2,00:03:59.223,48,59,113,Barcelona,From Free Kick,,Barcelona,Xavier Hernández Creus,Right Center Midfield,1.1449,,0.031183934,92f37b8e-306a-43af-ac28-c70cea1745a1,Right Foot,Open Play,Saved,Normal,True,,,,,,90.0,40.0,118.8,36.8,1.3
shot,eb3d0762-5508-44bd-8431-d37478db6a52,1956,2,00:04:30.330,49,30,114,Barcelona,From Corner,,Barcelona,Pedro Eliezer Rodríguez Ledesma,Right Center Forward,0.8463,,0.010245111,ba3eea61-873f-4d1c-b3b5-796888b54d61,Left Foot,Open Play,Saved,Normal,True,,,,,,93.0,28.5,118.9,36.6,1.3
shot,0b4ef883-910e-4488-b9ea-7536d08a780c,2600,2,00:21:48.666,66,48,151,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Left Center Forward,0.137795,,0.031939015,0882630d-ba9d-4a0d-979c-5467cbb9e204,Right Foot,Open Play,Blocked,Normal,True,,,,,,111.0,56.4,112.9,52.9,
shot,7ee13ca8-0328-4d29-8a50-38a43565707e,2682,2,00:24:48.943,69,48,156,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Left Center Forward,0.8091,,0.14639567,3f609cdc-92bf-4ae3-9a4b-cf8da57fdccd,Left Foot,Open Play,Saved,Normal,True,,,,,,110.5,27.8,118.8,35.9,0.2
shot,ce64b424-3fcf-45f8-a576-82bbd7b88836,2803,2,00:27:35.197,72,35,164,Barcelona,From Goal Kick,,Barcelona,David Villa Sánchez,Left Center Forward,0.9223,,0.27974388,,Left Foot,Open Play,Off T,Normal,,,,,,,103.2,41.8,120.0,40.0,4.2
shot,a4e92434-526b-4287-b447-0bd21d2158ef,2824,2,00:28:13.542,73,13,166,Barcelona,Regular Play,,Barcelona,Pedro Eliezer Rodríguez Ledesma,Right Center Forward,1.00063,,0.011646702,1334480c-3421-4e18-9f46-58c20d1dce44,Right Foot,Open Play,Saved,Normal,,,,,,,85.8,34.9,118.5,41.6,0.2
shot,6a678a41-491c-4b42-b340-a4c7c439416f,2858,2,00:28:49.492,73,49,169,Barcelona,From Throw In,,Barcelona,David Villa Sánchez,Left Center Forward,0.1515,,0.019574137,7578ad16-5e37-47a2-93d1-295755b979b8,Right Foot,Open Play,Blocked,Normal,,,,,,,105.9,23.1,107.1,24.3,
shot,d76f5c49-0b46-476e-8417-ec20d1b24774,2870,2,00:29:01.922,74,1,169,Barcelona,From Throw In,,Barcelona,David Villa Sánchez,Left Center Forward,1.0784,,0.028850058,cc9daf86-9760-4898-9132-7a96e8482ad6,Right Foot,Open Play,Saved,Normal,,,,,,,92.7,35.3,118.9,42.5,2.0
shot,5dcb0660-8bdd-4e04-a7d5-588cf5d42221,2990,2,00:31:25.420,76,25,172,Barcelona,From Free Kick,,Barcelona,David Villa Sánchez,Left Center Forward,0.2672,,0.2814924,8b2929a5-d500-4b23-8dcc-a29d8280de9d,Right Foot,Open Play,Saved,Normal,,,,,,,111.8,51.3,112.8,49.6,0.0
shot,32a5ea7f-ef9c-4b1f-8050-0d63fb3c85b3,2998,2,00:31:32.793,76,32,172,Barcelona,From Free Kick,,Barcelona,Daniel Alves da Silva,Right Back,0.2795,,0.01613213,,Right Foot,Open Play,Blocked,Normal,True,,,,,,99.0,57.1,101.9,53.9,
shot,3c55da30-87a4-4d7c-826f-9760f30d3672,3088,2,00:34:55.030,79,55,178,Atlético Madrid,From Free Kick,,Atlético Madrid,José Antonio Reyes Calderón,Right Midfield,1.0057,,0.024935408,4e1b8367-a66f-4992-8848-b3ae6a7adeaa,Left Foot,Open Play,Off T,Normal,True,,,,,,97.8,31.2,120.0,35.3,0.5
shot,b36d1b28-b4ca-4da3-b2f1-1501e3d761a8,3230,2,00:39:07.471,84,7,185,Atlético Madrid,From Throw In,,Atlético Madrid,Antonio López Guerrero,Left Back,1.3777,,0.013288797,,Right Foot,Open Play,Off T,Normal,,,,,,,94.6,19.8,120.0,33.8,0.0
shot,983017a8-60fd-45d0-9ab7-2b5dff0fb683,3253,2,00:40:44.673,85,44,187,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.2021,,0.39162707,1818e41f-2e8b-4959-92ab-65c194fcac1b,Left Foot,Open Play,Saved,Normal,True,,,,,,112.5,37.0,114.8,37.5,0.0
shot,eda7c2a7-9f16-4916-abe2-197b6f4baac3,3277,2,00:41:07.879,86,7,188,Atlético Madrid,Regular Play,,Atlético Madrid,José Antonio Reyes Calderón,Right Midfield,0.1872,,0.027315533,66a7c34d-46a3-442f-94f3-8ce14eca531f,Left Foot,Open Play,Saved,Normal,,,,,,True,97.5,24.1,118.3,38.7,2.1
