Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
10,Nick Bailey,,Midfielder,4,0,,,1,
,,,,,,,,,
3,Andre Bikey-Amougou,,Defender,2,0,,,,
,,,,,,,,,
19,Mustapha Carayol,,Midfielder,2,0,1,,,
,,,,,,,,,
9,Marvin Emnes,,Midfielder/Forward,2,1,1,,,
,,,,,,,,,
4,George Friend,,Defender/Midfielder,4,0,,,,
,,,,,,,,,
18,Andy Halliday,,Defender/Midfielder,2,1,,,,
,,,,,,,,,
38,Faris Haroun,,Midfielder,2,2,,,,
,,,,,,,,,
15,Seb Hines,,Defender/Midfielder,4,0,,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,3,0,,,,
,,,,,,,,,
17,Lukas Jutkiewicz,,Forward,1,0,,,,
,,,,,,,,,
7,Grant Leadbitter,,Midfielder,3,0,1,,1,
,,,,,,,,,
11,Emmanuel Ledesma,,Midfielder,4,0,1,,,
,,,,,,,,,
32,Jayson Leutwiler,,Goalkeeper,1,0,-,-,1,
,,,,,,,,,
27,Scott McDonald,,Forward,2,0,1,,1,
,,,,,,,,,
6,Stephen McManus,,Defender,2,0,,,,
,,,,,,,,,
30,Ishmael Miller,,Forward,1,2,,,,
,,,,,,,,,
24,Cameron Park,,Midfielder,1,0,1,,,
,,,,,,,,,
21,Stuart Parnaby,,Defender/Midfielder,1,1,,,,
,,,,,,,,,
25,Adam Reach,,Defender/Midfielder,0,2,,,,
,,,,,,,,,
33,Richard Smallwood,,Midfielder,2,2,1,,1,
,,,,,,,,,
1,Jason Steele,,Goalkeeper,4,0,-,-,,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,1,1,,,,
,,,,,,,,,
22,Luke Williams,,Forward,1,1,,,,
,,,,,,,,,
14,Rhys Williams,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
39,Jonathan Woodgate,,Defender/Centre back,1,0,,,,
,,,,,,,,,
5,Merouane Zemmama,,Midfielder,1,1,1,,,
