Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
4,Daniel Ayala,,Defender/Centre back,1,0,,,1,
15,Alex Baptiste,,Defender/Centre back,1,0,,,,
8,Adam Clayton,,Midfielder,1,0,,,,
23,Julien De Sart,,Midfielder,1,0,,,,
19,Stewart Downing,,Midfielder,1,0,,,,
2,Fábio Da Silva,,Defender/Midfielder,1,0,,,,
11,Viktor Fischer,,Midfielder/Forward,1,0,,,,
34,Adam Forshaw,,Midfielder,0,1,,,,
3,George Friend,,Defender/Midfielder,0,1,,,,
6,Ben Gibson,,Defender,1,0,,,,
12,Brad Guzan,,Goalkeeper,1,0,-,-,,
24,Emilio Nsue,,Forward,1,0,,,,
35,David Nugent,,Forward,1,0,1,,,
18,Cristhian Stuani,,Forward,0,1,,,,
