Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,2,1,2,,,
29,Fernando Amorebieta,,Defender,2,0,,,1,
4,Daniel Ayala,,Defender/Centre back,3,0,,,,
8,Adam Clayton,,Midfielder,2,2,,,,
10,Carlos De Pena,,Midfielder,3,0,,,,
19,Stewart Downing,,Midfielder,2,2,,,,
31,Diego Fabbrini,,Forward,2,1,1,,,
34,Adam Forshaw,,Midfielder,3,1,,,,
3,George Friend,,Defender/Midfielder,3,1,,,1,
22,Dael Fry,,Defender,0,1,,,,
6,Ben Gibson,,Defender,3,0,,,,
17,James Husband,,Defender,1,0,,,,
26,Tomas Kalas,,Defender,3,0,,,,
9,Kike,,Forward,4,0,,,,
7,Grant Leadbitter,,Midfielder,4,1,,,1,
13,Tomas Mejias,,Goalkeeper,5,0,-,-,,
24,Emilio Nsue,,Forward,4,1,,,,
35,David Nugent,,Forward,0,1,,,,
20,Adam Reach,,Defender/Midfielder,1,1,,,,
16,Jack Stephens,,Defender,3,1,,,,
18,Cristian Stuani,,Forward,3,0,4,,1,
30,Yanic Wildschut,,Forward,1,0,1,,,
39,Jonathan Woodgate,,Defender/Centre back,1,0,,,,
36,Bruno Zuculini,,Midfielder,0,1,,,,
