Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,3,0,1,,1,
29,Fernando Amorebieta,,Defender,0,1,1,,1,
4,Daniel Ayala,,Defender/Centre back,3,0,,,,
23,Patrick Bamford,,Midfielder/Forward,2,0,,,,
8,Adam Clayton,,Midfielder,3,0,,,1,
34,Adam Forshaw,,Midfielder,0,2,,,1,
3,George Friend,,Defender/Midfielder,3,0,,,1,
6,Ben Gibson,,Defender,3,0,,,,
9,Kike,,Forward,1,2,1,,1,
13,Dimi Konstantopoulos,,Goalkeeper,3,0,-,-,,
7,Grant Leadbitter,,Midfielder,3,0,,,,
24,Emilio Nsue,,Forward,0,1,,,,
20,Adam Reach,,Defender/Midfielder,0,1,,,,
10,Lee Tomlin,,Forward,3,0,1,,1,
21,Jelle Vossen,,Forward,3,0,1,,1,
18,Dean Whitehead,,Midfielder,3,0,,,2,
39,Jonathan Woodgate,,Defender/Centre back,0,1,,,,
