Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,2,1,,,1,
4,Daniel Ayala,,Defender/Centre back,3,0,,,1,
23,Patrick Bamford,,Midfielder/Forward,0,1,1,1,,
46,Jamal Blackman,,Goalkeeper,1,0,-,-,,
8,Adam Clayton,,Midfielder,2,0,,,1,
2,Damia,,Defender/Midfielder,1,0,,,,
30,Bradley Fewster,,Forward,2,0,1,,,
5,Ryan Fredericks,,Defender/Midfielder,1,0,,,,
3,George Friend,,Defender/Midfielder,1,0,,,,
15,Seb Hines,,Defender/Midfielder,2,0,,,,
17,James Husband,,Defender,2,0,,,,
9,Kike,,Forward,1,2,1,,,
13,Dimi Konstantopoulos,,Goalkeeper,2,0,-,-,,
7,Grant Leadbitter,,Midfielder,2,0,1,,,
11,Emmanuel Ledesma,,Midfielder,0,1,,,,
24,Emilio Nsue,,Forward,2,0,,,,
22,Kenneth Omeruo,,Defender,1,0,,,1,
20,Adam Reach,,Defender/Midfielder,2,1,1,,1,
33,Richard Smallwood,,Midfielder,0,1,,,,
10,Lee Tomlin,,Forward,2,0,2,,,
21,Jelle Vossen,,Forward,0,1,,,,
18,Dean Whitehead,,Midfielder,2,0,,,,
33,Yanic Wildschut,,Forward,0,1,,,,
14,Luke Williams,,Forward,1,0,1,,,
39,Jonathan Woodgate,,Defender/Centre back,1,0,,,,
