Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
18,Julio Arca,,Defender/Midfielder,1,1,,,1,
,,,,,,,,,
10,Nick Bailey,,Midfielder,2,0,,,,
,,,,,,,,,
4,Matthew Bates,,Defender,1,1,,,,
,,,,,,,,,
3,Joe Bennett,,Defender/Left back,2,0,,,1,
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,3,0,-,-,,
,,,,,,,,,
9,Marvin Emnes,,Midfielder/Forward,2,1,3,1,,
,,,,,,,,,
38,Faris Haroun,,Midfielder,1,1,,,,
,,,,,,,,,
15,Seb Hines,,Defender/Midfielder,2,0,1,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
22,Maulaury Martin,,Midfielder,2,0,,,,
,,,,,,,,,
7,Scott McDonald,,Forward,1,0,,,,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,3,0,,,1,
,,,,,,,,,
6,Stephen McManus,,Defender,3,0,,,,
,,,,,,,,,
16,Lee Miller,,Forward,0,1,,,,
,,,,,,,,,
26,Alex Nimely,,Forward,1,0,,,,
,,,,,,,,,
24,Cameron Park,,Midfielder,0,1,,,,
,,,,,,,,,
17,Barry Robson,,Midfielder,1,0,1,,,
,,,,,,,,,
33,Richard Smallwood,,Midfielder,2,1,,,,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,1,0,,,,
,,,,,,,,,
20,Luke Williams,,Forward,0,1,,,,
,,,,,,,,,
14,Rhys Williams,,Defender/Midfielder,1,1,,,,
,,,,,,,,,
5,Merouane Zemmama,,Midfielder,2,0,1,,,
