Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,2,0,1,,,
,,,,,,,,,
10,Nick Bailey,,Midfielder,2,0,,,,
,,,,,,,,,
27,Joe Bennett,,Defender/Left back,1,0,,,,
,,,,,,,,,
9,Kris Boyd,,Forward,0,1,,,,
,,,,,,,,,
23,Jonathan Grounds,,Defender/Midfielder,1,0,,,1,
,,,,,,,,,
19,Andy Halliday,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
24,Seb Hines,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
36,Matthew Kilgallon,,Defender/Centre back,1,0,,,,
,,,,,,,,,
11,Tarmo Kink,,Forward,1,0,,,1,
,,,,,,,,,
15,Leroy Lita,,Forward,2,0,,,,
,,,,,,,,,
7,Scott McDonald,,Forward,2,0,2,,,
,,,,,,,,,
6,Stephen McManus,,Defender,1,0,,,,
,,,,,,,,,
16,Lee Miller,,Forward,0,1,,,,
,,,,,,,,,
17,Barry Robson,,Midfielder,1,0,,,,
,,,,,,,,,
30,Jason Steele,,Goalkeeper,2,0,-,-,,
,,,,,,,,,
,Josh Walker,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
5,David Wheater,,Defender/Centre back,2,0,,,,
,,,,,,,,,
22,Luke Williams,,Forward,1,0,,,,
