Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
4,Daniel Ayala,,Defender/Centre back,3,0,,,,
30,Lewis Baker,,Midfielder,2,0,1,,,
11,Patrick Bamford,,Midfielder/Forward,2,0,2,1,,
8,Adam Clayton,,Midfielder,1,0,,,,
19,Stewart Downing,,Midfielder,0,3,,,,
2,Fábio Da Silva,,Defender/Midfielder,1,0,1,,,
18,Ashley Fletcher,,Forward,2,1,1,,,
34,Adam Forshaw,,Midfielder,3,0,,,,
3,George Friend,,Defender/Midfielder,2,0,,,,
20,Dael Fry,,Defender,2,1,,,1,
39,Rudy Gestede,,Forward,0,1,,,,
6,Ben Gibson,,Defender,1,0,,,,
16,Jonny Howson,,Midfielder,1,0,,,1,
1,Dimi Konstantopoulos,,Goalkeeper,3,0,-,-,,
7,Grant Leadbitter,,Midfielder,1,0,,,,
45,George Miller,,Forward,0,1,,,,
23,Connor Roberts,,Defender/Midfielder,3,0,,,,
62,Marcus Tavernier,,Midfielder,3,0,1,,,
37,Adama Traoré,,Midfielder/Forward,2,0,,,,
51,Lewis Wing,,Midfielder/Forward,1,1,,,,
