Club,F,Y,R,P
Sheffield Utd,627,86,2,7
Sheffield Wed,592,57,0,2
Barnsley,586,78,4,8
Plymouth,586,72,2,7
Crystal Palace,577,83,5,4
Nottm Forest,558,80,4,4
Ipswich Town,557,65,4,4
Bristol City,556,80,3,2
Middlesbrough,544,70,4,2
Coventry City,543,69,4,9
Preston,541,68,2,4
WBA,539,90,3,7
Scunthorpe,531,71,7,11
Reading,516,61,5,3
Derby County,513,75,5,7
Newcastle,484,66,3,1
QPR,483,60,7,7
Leicester City,478,57,3,2
Peterborough,473,45,2,3
Watford,470,55,3,4
Blackpool,458,57,3,4
Cardiff City,453,63,4,1
Swansea City,424,66,4,2
Doncaster,405,39,3,3
