Club,F,Y,R,P
Yeovil Town,588,82,4,8
Nottm Forest,562,93,3,8
Blackpool,538,83,10,11
Brighton,537,74,2,3
Derby County,533,73,2,2
Sheffield Wed,524,91,5,3
Watford,521,102,6,3
Leeds United,521,71,2,1
Birmingham,514,78,2,3
Huddersfield,506,70,4,5
Millwall,502,86,6,5
Wigan Athletic,499,68,2,7
Reading,493,76,6,6
Middlesbrough,485,78,9,9
QPR,481,64,4,3
Blackburn,479,74,4,9
Leicester City,471,52,2,5
Ipswich Town,467,54,0,3
Bolton,463,70,2,6
Charlton,455,58,4,6
Barnsley,452,67,6,6
Burnley,437,51,2,3
Doncaster,429,70,3,8
Bournemouth,391,65,4,3
