Club,F,Y,R,P
Portsmouth,558,79,4,4
Watford,537,67,3,6
Millwall,528,78,2,7
Leeds United,528,75,9,6
Derby County,498,58,1,4
Coventry City,475,57,3,6
Hull City,474,69,1,2
Reading,471,58,1,3
Nottm Forest,468,59,5,5
Crystal Palace,467,58,2,2
Bristol City,465,79,6,5
Barnsley,462,61,2,8
Southampton,456,52,4,2
Brighton,454,92,8,5
Middlesbrough,451,76,7,2
West Ham Utd,448,63,6,3
Peterborough,438,53,2,3
Leicester City,434,65,9,10
Doncaster,424,68,4,6
Birmingham,415,63,3,2
Burnley,414,70,2,3
Cardiff City,414,58,0,5
Ipswich Town,396,56,5,3
Blackpool,352,55,2,2
