Club,F,Y,R,P
Leeds United,554,86,4,4
Millwall,540,61,7,6
Preston,538,81,3,4
Sheffield Utd,535,72,12,10
Barnsley,533,72,3,9
Reading,525,65,4,6
Burnley,516,78,5,3
Nottm Forest,516,65,4,3
Coventry City,516,64,5,7
Portsmouth,514,81,7,6
Derby County,507,78,3,9
Bristol City,506,57,3,8
Scunthorpe,502,55,3,5
Norwich City,495,70,3,4
Ipswich Town,491,61,5,3
Crystal Palace,485,81,9,11
Hull City,484,74,2,3
QPR,482,62,6,5
Cardiff City,479,60,1,5
Doncaster,460,49,3,4
Middlesbrough,437,64,1,8
Leicester City,436,53,3,4
Swansea City,431,54,2,5
Watford,403,48,2,3
