match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,last_updated,metadata,match_week,competition_stage,stadium,referee
16157,2019-02-02,18:30:00.000,11,4,217,207,2,2,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2'}",22,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 221, 'name': 'Alberto Undiano', 'country': {'id': 112, 'name': 'Italy'}}"
16136,2019-01-20,20:45:00.000,11,4,217,205,3,1,available,2020-07-29T05:00,"{'data_version': '1.0.3', 'shot_fidelity_version': '2'}",20,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 215, 'name': 'Ricardo De Burgos', 'country': {'id': 112, 'name': 'Italy'}}"
16215,2019-03-17,20:45:00.000,11,4,218,217,1,4,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2'}",28,"{'id': 1, 'name': 'Regular Season'}","{'id': 352, 'name': 'Estadio Benito Villamarín', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 215, 'name': 'Ricardo De Burgos', 'country': {'id': 112, 'name': 'Italy'}}"
16248,2019-04-06,20:45:00.000,11,4,217,212,2,0,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2'}",31,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 183, 'name': 'Jesús Gil', 'country': {'id': 214, 'name': 'Spain'}}"
16056,2018-11-11,16:15:00.000,11,4,217,218,3,4,available,2020-07-29T05:00,"{'data_version': '1.0.3', 'shot_fidelity_version': '2'}",12,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 180, 'name': 'Antonio Mateu', 'country': {'id': 214, 'name': 'Spain'}}"
16289,2019-04-27,20:45:00.000,11,4,217,221,1,0,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2'}",35,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 215, 'name': 'Ricardo De Burgos', 'country': {'id': 112, 'name': 'Italy'}}"
16079,2018-12-02,18:30:00.000,11,4,217,222,2,0,available,2020-07-29T05:00,"{'data_version': '1.0.3', 'shot_fidelity_version': '2'}",14,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 224, 'name': 'José Munuera', 'country': {'id': 112, 'name': 'Italy'}}"
16149,2019-01-27,16:15:00.000,11,4,211,217,0,2,available,2020-07-29T05:00,"{'data_version': '1.0.3', 'shot_fidelity_version': '2'}",21,"{'id': 1, 'name': 'Regular Season'}","{'id': 343, 'name': 'Estadi Municipal de Montilivi', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 219, 'name': 'Pablo González', 'country': {'id': 112, 'name': 'Italy'}}"
16275,2019-04-23,21:30:00.000,11,4,206,217,0,2,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2'}",34,"{'id': 1, 'name': 'Regular Season'}",,
15973,2018-09-02,18:30:00.000,11,4,217,902,8,2,available,2020-07-29T05:00,"{'data_version': '1.0.3', 'shot_fidelity_version': '2'}",3,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 209, 'name': 'Mario Melero', 'country': {'id': 112, 'name': 'Italy'}}"
