R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,46,2,31,6.54,
2,Ryan Fredericks,DR,0,0,0,83,0,89,8.35,
3,Daniel Ayala,DC,1,1,0,82,3,69,7.36,
4,Ben Gibson,DC,1,0,1,81,2,75,7.18,
5,James Husband,DL,0,0,2,80,2,66,7.07,
6,Emmanuel Ledesma75',MR,2,1,2,78,1,37,6.93,
7,Grant Leadbitter,MC,0,0,3,89,1,86,7.29,
8,Adam Clayton29',MC,0,0,0,71,0,8,5.93,
9,Adam Reach,ML,3,0,1,66,1,60,6.35,
10,Lee Tomlin,FW,2,1,1,81,1,52,7.12,
11,Patrick Bamford,FW,4,0,1,69,2,26,6.27,
12,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,
14,George Friend,Sub,0,0,0,0,0,0,0,
15,Yanic Wildschut,Sub,0,0,0,0,0,0,0,
16,Jamal Blackman,Sub,0,0,0,0,0,0,0,
17,Emilio Nsue Lopez75',Sub,1,0,0,100,0,9,5.95,
18,Kike29',Sub,5,2,2,85,1,30,6.78,
