R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,38,0,45,8.46,
2,Nathaniel Chalobah,DC,1,1,1,76,1,36,7.33,
3,Jonathan Woodgate,DC,0,0,0,53,3,47,7.93,
4,Daniel Ayala,DC,0,0,0,54,2,34,6.41,
5,Albert Adomah,DMR,1,0,1,52,1,55,7.68,
6,Emmanuel Jorge Ledesma,DML,1,0,1,64,0,62,7.33,
7,Jacob Butterfield72',MC,2,2,0,77,0,40,7.32,
8,Dean Whitehead,MC,0,0,1,84,2,51,7.04,
9,Grant Leadbitter,MC,0,0,2,69,1,47,7.23,
10,Lee Tomlin82',FW,3,0,1,75,0,33,7.2,
11,Danny Graham89',FW,2,1,1,54,1,21,6.89,
12,Jason Steele,Sub,0,0,0,0,0,0,0,
13,Curtis Main89',Sub,0,0,0,0,0,0,6,
14,József Varga72',Sub,0,0,1,67,0,11,6.33,
15,Luke Williams82',Sub,0,0,0,25,0,8,6.22,
16,Adam Jackson,Sub,0,0,0,0,0,0,0,
17,Bryn Morris,Sub,0,0,0,0,0,0,0,
18,David Atkinson,Sub,0,0,0,0,0,0,0,
