R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,64,0,44,6.88,
2,Rhys Williams,DR,0,0,1,74,2,68,7.03,
3,Daniel Ayala,DC,0,0,0,74,3,42,7.14,
4,Jonathan Woodgate,DC,2,0,1,78,5,45,7.5,
5,George Friend,DL,0,0,0,72,2,67,7.33,
6,Richard Smallwood,DMC,0,0,1,84,2,66,6.64,
7,József Varga72',DMC,0,0,0,86,1,27,6.28,
8,Albert Adomah85',AMR,0,0,0,67,1,36,6.22,
9,Grant Leadbitter,AMC,0,0,3,78,1,61,6.27,
10,Marvin Emnes72',AML,1,0,0,85,1,40,6.07,
11,Kei Kamara,FW,3,2,0,62,9,71,7.02,
12,Lukas Jutkiewicz72',Sub,3,1,0,67,1,13,5.95,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,
14,Mustapha Carayol72',Sub,0,0,1,90,1,17,6.3,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,
16,Frazer Richardson,Sub,0,0,0,0,0,0,0,
17,Jacob Butterfield85',Sub,0,0,0,100,0,4,6.01,
18,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
