R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,29,0,44,7.11,
2,József Varga,DR,0,0,0,86,0,68,6.98,
3,Ben Gibson,DC,0,0,0,76,0,46,6.91,
4,Kenneth Omeruo,DC,1,0,0,71,4,59,7.69,
5,George Friend,DL,1,0,0,79,0,52,7.03,
6,Luke Williams79',MR,1,0,2,90,0,65,6.46,
7,Grant Leadbitter,MC,0,0,2,91,1,86,7.54,
8,Nathaniel Chalobah,MC,2,1,1,78,4,65,8.48,
9,Albert Adomah89',ML,1,0,2,79,0,53,6.52,
10,Lee Tomlin59',AMC,3,1,1,74,0,49,6.64,
11,Danny Graham,FW,1,0,1,47,1,19,6.3,
12,Mark Kitching,Sub,0,0,0,0,0,0,0,
13,David Atkinson,Sub,0,0,0,0,0,0,0,
14,Kei Kamara,Sub,0,0,0,0,0,0,0,
15,Jacob Butterfield79',Sub,0,0,1,100,0,7,6.05,
16,Jason Steele,Sub,0,0,0,0,0,0,0,
17,Curtis Main89',Sub,0,0,0,0,0,0,6,
18,Emmanuel Jorge Ledesma59',Sub,1,0,1,69,0,23,6.3,
