R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,21,0,38,6.06,
2,Rhys Williams,DR,2,0,1,53,2,73,7.3,
3,Ben Gibson,DC,0,0,0,44,2,47,6.91,
4,Daniel Ayala,DC,0,0,0,52,3,47,6.92,
5,George Friend,DL,0,0,1,78,5,53,7.09,
6,Albert Adomah89',MR,0,0,1,64,0,43,6.27,
7,Grant Leadbitter,MC,3,1,1,86,2,62,7.41,
8,Richard Smallwood,MC,0,0,1,61,1,44,6.87,
9,Jacob Butterfield79',MC,2,0,0,67,1,41,6.74,
10,Mustapha Carayol67',ML,3,1,2,68,2,37,8,
11,Curtis Main,FW,4,1,1,78,0,39,7.76,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma79',Sub,1,0,1,100,0,15,6.07,
15,Marvin Emnes89',Sub,0,0,0,50,0,2,5.9,
16,Sebastian Hines,Sub,0,0,0,0,0,0,0,
17,Lukas Jutkiewicz67',Sub,0,0,2,50,0,20,5.84,
18,József Varga,Sub,0,0,0,0,0,0,0,
