R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,50,0,33,7.37,
2,József Varga,DR,0,0,0,80,1,57,7.18,
3,Ben Gibson,DC,0,0,0,74,2,60,7.71,
4,Daniel Ayala,DC,1,0,0,92,2,44,7.94,
5,George Friend,DL,0,0,0,79,1,54,7.73,
6,Emmanuel Jorge Ledesma88',MR,2,1,3,76,0,57,7.99,
7,Grant Leadbitter,MC,4,3,3,90,1,74,9.19,
8,Dean Whitehead,MC,0,0,0,88,1,58,7.27,
9,Albert Adomah,ML,6,2,4,78,0,38,8.21,
10,Lukas Jutkiewicz63',FW,1,0,3,52,6,40,7.39,
11,Marvin Emnes81',FW,5,2,1,82,0,41,6.95,
12,Jacob Butterfield88',Sub,0,0,1,100,0,7,6.09,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
14,Mustapha Carayol81',Sub,0,0,0,89,0,10,6.16,
15,Rhys Williams,Sub,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,
17,Curtis Main63',Sub,2,1,0,100,0,16,6.65,
18,Sebastian Hines,Sub,0,0,0,0,0,0,0,
