R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Lee Tomlin59',AMC,1,0,3,87,0,23,6.57,
2,Dimitrios Konstantopoulos,GK,0,0,0,26,0,42,6.85,
3,Daniel Ayala,DC,0,0,0,76,9,47,7.32,
4,Ben Gibson,DC,0,0,0,56,3,44,6.64,
5,George Friend,DL,0,0,0,72,3,69,7.15,
6,Albert Adomah89',MR,1,1,1,73,1,46,6.76,
7,Grant Leadbitter,MC,5,2,0,70,0,64,7.82,
8,Adam Clayton,MC,3,0,2,77,1,55,6.89,
9,Adam Reach,ML,1,0,1,63,4,46,7.44,
10,Damiá,DR,1,0,1,57,8,75,7.21,
11,Kike77',FW,3,1,2,69,0,43,6.35,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,
13,Jelle Vossen59',Sub,2,0,0,74,0,22,5.96,
14,Patrick Bamford77',Sub,0,0,0,50,0,7,6.01,
15,Emilio Nsue Lopez89',Sub,0,0,0,0,0,0,6.03,
16,Yanic Wildschut,Sub,0,0,0,0,0,0,0,
17,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,
18,Jamal Blackman,Sub,0,0,0,0,0,0,0,
