R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,41,0,30,7.31,
2,Ryan Fredericks,DR,0,0,1,83,0,96,8.81,
3,Kenneth Omeruo,DC,0,0,0,56,0,46,7.6,
4,Ben Gibson,DC,0,0,1,67,1,36,7.51,
5,George Friend,DL,0,0,2,73,2,58,7.48,
6,Dean Whitehead,DMC,2,1,1,93,1,71,6.7,
7,Grant Leadbitter70',DMC,3,2,1,87,0,57,8.08,
8,Albert Adomah,AMR,3,1,1,83,0,56,8.51,
9,Patrick Bamford76',AMC,4,1,0,82,1,26,7.57,
10,Emilio Nsue Lopez,AML,3,1,4,77,0,55,8.27,
11,Jelle Vossen85',FW,4,1,3,66,2,40,7.81,
12,Adam Clayton70',Sub,1,1,1,81,0,22,6.73,
13,Kike76',Sub,2,1,1,100,0,11,7.36,
14,James Husband,Sub,0,0,0,0,0,0,0,
15,Adam Reach85',Sub,0,0,0,100,0,4,6.02,
16,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,
18,Lee Tomlin,Sub,0,0,0,0,0,0,0,
