R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,33,0,33,7.01,
2,József Varga,DR,0,0,0,50,2,53,6.64,
3,Daniel Ayala,DC,1,0,0,65,3,37,5.96,
4,Rhys Williams,DC,0,0,0,63,8,32,6.35,
5,George Friend,DL,0,0,0,68,5,61,6.54,
6,Dean Whitehead,DMC,0,0,0,70,2,49,6.96,
7,Grant Leadbitter,DMC,2,0,2,59,1,50,6.68,
8,Albert Adomah,AMR,0,0,2,67,0,41,6.79,
9,Emmanuel Jorge Ledesma77',AMC,4,0,0,72,1,36,5.82,
10,Mustapha Carayol,AML,0,0,2,60,0,57,6.9,
11,Lukas Jutkiewicz59',FW,2,1,0,56,1,31,6.25,
12,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,
13,Kei Kamara59',Sub,0,0,0,44,4,14,6.02,
14,Marvin Emnes,Sub,0,0,0,0,0,0,0,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
18,Nathaniel Chalobah77',Sub,0,0,0,63,0,9,6.1,
