R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,37,1,26,7.18,
2,Emilio Nsue Lopez,DR,0,0,1,83,0,55,6.84,
3,Daniel Ayala,DC,1,0,0,80,3,46,7.37,
4,Kenneth Omeruo71',DC,0,0,0,61,2,62,7,
5,George Friend,DL,1,0,0,67,2,75,6.82,
6,Albert Adomah,MR,2,1,1,90,2,56,6.44,
7,Lee Tomlin87',MC,0,0,2,78,1,45,6.7,
8,Adam Clayton,MC,0,0,3,90,2,82,7.74,
9,Adam Reach,ML,0,0,1,76,1,56,6.97,
10,Patrick Bamford,FW,3,0,1,56,2,35,6.18,
11,Kike76',FW,2,0,0,56,0,32,5.92,
12,Emmanuel Ledesma,Sub,0,0,0,0,0,0,0,
13,James Husband,Sub,0,0,0,0,0,0,0,
14,Yanic Wildschut87',Sub,0,0,0,100,0,4,5.96,
15,Jamal Blackman,Sub,0,0,0,0,0,0,0,
16,Ryan Fredericks,Sub,0,0,0,0,0,0,0,
17,Ben Gibson71',Sub,0,0,0,60,1,10,6.44,
18,Grant Leadbitter76',Sub,0,0,0,100,0,4,6.17,
