R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,65,0,41,6.59,
2,Rhys Williams,DR,1,0,1,88,1,45,6.48,
3,Sebastian Hines88',DC,0,0,0,80,1,48,5.78,
4,Daniel Ayala,DC,2,1,1,85,2,46,7.65,
5,Ben Gibson,DL,0,0,1,88,3,72,6.7,
6,Albert Adomah,MR,2,1,1,69,0,26,7.08,
7,Grant Leadbitter,MC,3,2,3,83,2,59,7.8,
8,Richard Smallwood,MC,2,0,2,86,0,37,6.26,
9,Mustapha Carayol78',ML,0,0,1,87,2,31,6.29,
10,Kei Kamara,FW,5,2,1,68,10,43,7.15,
11,Marvin Emnes78',FW,1,0,2,100,0,21,6.26,
12,Brad Halliday78',Sub,0,0,0,100,0,2,6.09,
13,George Friend88',Sub,0,0,0,100,0,3,6.1,
14,Dean Whitehead,Sub,0,0,0,0,0,0,0,
15,Jacob Butterfield78',Sub,0,0,1,83,0,10,6.2,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
18,Frazer Richardson,Sub,0,0,0,0,0,0,0,
