R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele78',GK,0,0,0,92,0,33,7.55,
2,Frazer Richardson,DR,0,0,0,82,1,59,7.03,
3,Jonathan Woodgate,DC,0,0,0,77,11,57,8.61,
4,Rhys Williams,DC,0,0,0,79,3,55,7.47,
5,George Friend,DL,0,0,0,82,3,84,7.97,
6,József Varga,DMC,1,1,2,82,2,55,7.64,
7,Dean Whitehead,DMC,1,0,1,91,0,99,7.51,
8,Albert Adomah,AMR,1,0,2,87,2,56,6.52,
9,Grant Leadbitter83',AMC,3,0,2,92,0,74,7.09,
10,Mustapha Carayol89',AML,4,0,1,66,2,59,6.69,
11,Lukas Jutkiewicz,FW,4,2,0,71,2,37,7.17,
12,Richard Smallwood83',Sub,0,0,1,80,0,5,6.07,
13,Curtis Main,Sub,0,0,0,0,0,0,0,
14,Stuart Parnaby,Sub,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,
16,Jayson Leutwiler78',Sub,0,0,0,33,0,13,6.1,
17,Ben Gibson,Sub,0,0,0,0,0,0,0,
18,Marvin Emnes89',Sub,0,0,0,0,0,3,6.14,
