,,,,,,,,,,
R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,60,0,33,5.61,
2,Frazer Richardson,DR,0,0,1,82,1,53,6.16,
3,Rhys Williams,DC,1,0,0,97,2,47,5.27,
4,Jonathan Woodgate,DC,1,0,0,89,5,46,6.48,
5,George Friend,DL,0,0,0,84,3,63,6.66,
6,Dean Whitehead89',DMC,1,0,3,88,1,78,7.42,
7,Albert Adomah89',MR,1,0,2,80,0,30,6.7,
8,Grant Leadbitter,MC,4,1,5,86,2,60,7.35,
9,Jacob Butterfield,MC,4,2,3,78,0,77,7.23,
10,Mustapha Carayol87',ML,5,1,2,90,1,48,7.52,
11,Kei Kamara,FW,6,2,2,70,4,47,8.25,
12,Ben Gibson87',Sub,0,0,0,100,0,5,6.09,
13,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
14,József Varga89',Sub,0,0,0,100,0,5,6.04,
15,Justin Hoyte,Sub,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz89',Sub,0,0,1,33,0,3,6.06,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,
18,Andrew Halliday,Sub,0,0,0,0,0,0,0,
