R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,34,2,39,6.96,
2,Damiá64',DR,2,0,0,83,0,43,6.46,
3,Kenneth Omeruo,DC,0,0,0,59,4,57,7.63,
4,Daniel Ayala,DC,0,0,0,65,5,38,7.55,
5,George Friend,DL,0,0,0,72,2,68,6.79,
6,Albert Adomah,MR,1,0,2,81,0,43,7.32,
7,Grant Leadbitter,MC,1,0,1,85,0,65,6.91,
8,Adam Clayton,MC,2,1,0,88,1,64,7.1,
9,Adam Reach,ML,1,0,0,73,0,55,6.74,
10,Jelle Vossen66',FW,1,0,0,75,1,21,6.23,
11,Kike87',FW,1,1,0,67,4,51,7.58,
12,Lee Tomlin66',Sub,2,0,1,83,0,14,6.42,
13,Dean Whitehead,Sub,0,0,0,0,0,0,6.03,
14,Patrick Bamford87',Sub,1,0,0,100,0,6,6.05,
15,Emilio Nsue Lopez64',Sub,0,0,0,67,0,17,6.23,
16,Yanic Wildschut,Sub,0,0,0,0,0,0,0,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,
