R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,56,0,38,7.32,
2,József Varga,DR,0,0,0,57,1,57,7.27,
3,Rhys Williams,DC,1,0,1,68,6,61,8.79,
4,Daniel Ayala,DC,0,0,0,58,6,50,8.25,
5,George Friend,DL,0,0,0,60,6,58,7.82,
6,Emmanuel Jorge Ledesma89',MR,4,1,1,65,0,65,7.98,
7,Grant Leadbitter,MC,0,0,0,63,0,47,6.81,
8,Dean Whitehead,MC,0,0,1,84,2,57,6.98,
9,Marvin Emnes61',MC,0,0,0,80,1,28,6.04,
10,Albert Adomah,ML,0,0,2,82,0,37,6.89,
11,Lukas Jutkiewicz81',FW,0,0,0,63,3,31,6.36,
12,Jacob Butterfield89',Sub,0,0,0,67,0,4,6.09,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,
14,Mustapha Carayol61',Sub,2,2,0,47,0,30,8.39,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,
16,Curtis Main81',Sub,1,0,0,50,0,10,6.07,
17,Ben Gibson,Sub,0,0,0,0,0,0,0,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
