R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jayson Leutwiler,GK,0,0,0,70,0,17,6.12,
2,Frazer Richardson,DR,0,0,1,79,0,74,6.23,
3,Jonathan Woodgate,DC,1,0,0,87,2,55,6.72,
4,Rhys Williams,DC,1,0,2,89,3,62,6.63,
5,George Friend,DL,1,0,1,68,2,50,6.83,
6,Albert Adomah,MR,2,0,2,83,0,61,6.35,
7,Grant Leadbitter,MC,3,1,3,92,0,61,7,
8,Dean Whitehead,MC,0,0,0,90,0,88,6.51,
9,József Varga60',MC,0,0,0,92,0,18,6.22,
10,Mustapha Carayol,ML,5,1,1,62,0,27,6.11,
11,Lukas Jutkiewicz,FW,2,0,0,60,0,18,5.99,
12,Curtis Main,Sub,0,0,0,0,0,0,0,
13,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,
17,Marvin Emnes60',Sub,1,1,0,100,1,14,7.02,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,
