R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,48,2,41,7.38,
2,József Varga,DR,0,0,1,79,2,59,6.85,
3,Rhys Williams,DC,0,0,1,75,0,57,7.65,
4,Daniel Ayala,DC,0,0,0,90,2,53,7.18,
5,George Friend,DL,0,0,0,70,5,64,7.61,
6,Emmanuel Jorge Ledesma,MR,4,2,1,75,2,64,7.61,
7,Dean Whitehead,MC,1,0,1,74,5,81,7.34,
8,Grant Leadbitter,MC,1,0,0,76,2,43,7.01,
9,Mustapha Carayol88',ML,3,3,0,60,1,41,7.09,
10,Curtis Main79',FW,1,0,1,70,3,36,6.77,
11,Marvin Emnes58',FW,1,0,3,76,1,34,6.56,
12,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,
13,Lukas Jutkiewicz58',Sub,2,1,2,71,1,24,6.3,
14,Richard Smallwood79',Sub,0,0,0,67,0,7,5.98,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,
17,Kei Kamara88',Sub,0,0,1,67,0,7,6.15,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
