R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,33,0,51,6.88,
2,József Varga,DR,0,0,0,78,0,52,6.42,
3,Kenneth Omeruo67',DC,0,0,0,76,2,33,6.61,
4,Jonathan Woodgate41',DC,0,0,0,59,2,26,6.97,
5,Ben Gibson,DL,0,0,0,67,0,91,5.87,
6,Albert Adomah,MR,3,2,3,63,0,45,6.8,
7,Jacob Butterfield60',MC,3,1,0,76,1,58,6.38,
8,Dean Whitehead,MC,1,0,2,86,1,87,6.85,
9,Adam Reach,ML,3,0,2,89,0,71,6.89,
10,Lee Tomlin,AMC,8,6,5,81,0,74,9.38,
11,Danny Graham,FW,3,2,2,83,2,29,7.61,
12,Sebastian Hines67',Sub,0,0,0,57,2,10,6.54,
13,Jason Steele,Sub,0,0,0,0,0,0,0,
14,Curtis Main,Sub,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,
16,Daniel Ayala41',Sub,1,1,0,80,7,32,8.26,
17,Nathaniel Chalobah60',Sub,1,0,2,83,2,17,6.61,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,
