R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,53,0,43,7.65,
2,Jonathan Woodgate,DC,0,0,0,75,3,75,6.16,
3,Kenneth Omeruo,DC,1,0,1,69,4,115,7.75,
4,Nathaniel Chalobah,DC,0,0,0,84,4,59,7.05,
5,Emmanuel Jorge Ledesma,DMR,2,1,2,64,2,71,7.81,
6,Albert Adomah,DML,0,0,1,69,0,56,6.4,
7,Jacob Butterfield60',MC,2,1,2,70,0,47,6.73,
8,Dean Whitehead85',MC,2,1,1,98,0,62,6.71,
9,Grant Leadbitter74',MC,1,0,1,70,0,40,6.18,
10,Lee Tomlin,AMC,3,0,0,88,0,40,6.12,
11,Danny Graham,FW,2,1,2,67,2,31,6.77,
12,Sebastian Hines,Sub,0,0,0,0,0,0,0,
13,George Friend85',Sub,0,0,0,100,0,12,6.16,
14,Jason Steele,Sub,0,0,0,0,0,0,0,
15,Curtis Main74',Sub,1,0,0,0,0,7,6.03,
16,József Varga,Sub,0,0,0,0,0,0,0,
17,Luke Williams60',Sub,0,0,0,77,0,19,6.32,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,
