R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,48,0,34,6.82,
2,Sebastian Hines,DR,0,0,0,83,1,42,7.27,
3,Daniel Ayala,DC,2,2,0,51,8,52,8.46,
4,Ben Gibson4',DC,0,0,0,0,0,0,6.33,
5,George Friend,DL,2,0,1,64,0,79,7.57,
6,Dean Whitehead,DMC,0,0,1,86,2,60,7.55,
7,Grant Leadbitter,DMC,0,0,4,73,2,60,7.92,
8,Albert Adomah67',AMR,2,2,1,70,1,24,6.83,
9,Lee Tomlin87',AMC,5,0,2,88,1,54,7,
10,Adam Reach,AML,0,0,2,72,1,57,7.34,
11,Kike,FW,6,2,2,74,2,44,8.05,
12,Richard Smallwood,Sub,0,0,0,0,0,0,0,
13,James Husband,Sub,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
16,Luke Williams87',Sub,1,1,0,80,0,6,6.2,
17,Kenneth Omeruo4',Sub,0,0,0,74,2,45,6.87,
18,Emilio Nsue Lopez67',Sub,2,1,1,100,0,14,6.24,
