R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,60,0,45,6.67,
2,Frazer Richardson,DR,0,0,2,70,2,34,6.63,
3,Jonathan Woodgate45',DC,0,0,0,92,3,17,6.14,
4,Ben Gibson,DC,1,0,0,74,1,52,5.87,
5,George Friend,DL,1,0,0,71,5,64,6.75,
6,Jacob Butterfield67',MR,1,0,0,84,0,34,5.75,
7,József Varga45',MC,0,0,0,71,0,20,5.76,
8,Grant Leadbitter,MC,3,1,2,74,3,56,6.48,
9,Dean Whitehead,MC,0,0,3,85,2,63,6.47,
10,Albert Adomah,ML,3,0,1,65,1,39,6.13,
11,Kei Kamara,FW,2,1,2,69,3,23,6.42,
12,Mustapha Carayol,Sub,0,0,0,0,0,0,0,
13,Richard Smallwood67',Sub,0,0,1,89,0,10,6.1,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
15,Lukas Jutkiewicz45',Sub,6,2,1,50,3,19,6.8,
16,Andrew Halliday,Sub,0,0,0,0,0,0,0,
17,Stuart Parnaby45',Sub,0,0,0,50,0,20,6.33,
18,Justin Hoyte,Sub,0,0,0,0,0,0,0,
