R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,75,0,50,5.92,
2,Frazer Richardson,DR,0,0,1,69,0,87,6.39,
3,Rhys Williams,DC,0,0,0,88,3,105,7.38,
4,Jonathan Woodgate,DC,0,0,0,86,2,70,6.84,
5,George Friend,DL,1,0,1,89,2,62,6.58,
6,Mustapha Carayol63',MR,0,0,1,83,0,36,6.39,
7,Dean Whitehead63',MC,0,0,0,79,2,36,5.9,
8,Jacob Butterfield,MC,0,0,0,87,0,53,5.77,
9,Grant Leadbitter,MC,0,0,1,90,0,86,6.79,
10,Albert Adomah,ML,3,2,1,86,2,47,7.46,
11,Lukas Jutkiewicz,FW,2,1,0,80,4,25,6.34,
12,Ben Gibson,Sub,0,0,0,0,0,0,0,
13,Richard Smallwood,Sub,0,0,0,0,0,0,0,
14,Kei Kamara63',Sub,1,0,0,50,1,7,5.93,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
16,Justin Hoyte,Sub,0,0,0,0,0,0,0,
17,Andrew Halliday,Sub,0,0,0,0,0,0,0,
18,Marvin Emnes63',Sub,0,0,1,80,1,20,6.12,
