R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,58,0,32,6.73,
2,Rhys Williams,DR,0,0,0,86,3,80,7.72,
3,Jonathan Woodgate,DC,0,0,0,74,4,50,7.46,
4,Ben Gibson,DC,1,0,0,65,4,52,7.11,
5,George Friend,DL,1,0,1,88,1,70,6.79,
6,Albert Adomah,MR,1,0,0,82,1,46,7.15,
7,Grant Leadbitter,MC,1,1,4,85,4,85,8.58,
8,Jacob Butterfield67',MC,3,0,0,84,0,48,6.42,
9,Richard Smallwood84',MC,2,0,1,84,0,43,6.27,
10,Mustapha Carayol63',ML,0,0,0,95,1,37,5.93,
11,Kei Kamara,FW,1,0,2,67,5,48,6.98,
12,Dean Whitehead84',Sub,0,0,0,50,0,6,6.06,
13,Curtis Main63',Sub,1,0,0,40,0,9,6.4,
14,Marvin Emnes67',Sub,0,0,0,89,0,17,6.55,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
16,Daniel Ayala,Sub,0,0,0,0,0,0,0,
17,Frazer Richardson,Sub,0,0,0,0,0,0,0,
18,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,
