R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,19,0,39,6.48,
2,József Varga,DR,0,0,0,61,0,54,6.66,
3,Kenneth Omeruo,DC,1,0,0,54,2,60,7.66,
4,Ben Gibson,DC,1,0,0,58,0,36,6.55,
5,George Friend,DL,1,0,1,53,2,59,6.63,
6,Emmanuel Jorge Ledesma62',MR,1,0,2,50,0,24,6.61,
7,Nathaniel Chalobah,MC,1,0,2,64,0,42,6.61,
8,Grant Leadbitter,MC,1,1,3,70,0,44,7.4,
9,Mustapha Carayol83',ML,5,2,1,60,0,36,7.88,
10,Lee Tomlin36',AMC,0,0,0,86,0,16,5.95,
11,Danny Graham,FW,3,0,1,56,0,30,6.28,
12,Albert Adomah36',Sub,1,0,1,45,0,22,6.76,
13,Jason Steele,Sub,0,0,0,0,0,0,0,
14,Jacob Butterfield,Sub,0,0,0,0,0,0,0,
15,Luke Williams,Sub,0,0,0,0,0,0,0,
16,David Atkinson,Sub,0,0,0,0,0,0,0,
17,Kei Kamara83',Sub,1,0,1,67,0,6,6.08,
18,Dean Whitehead62',Sub,0,0,0,75,0,15,6.13,
