R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,1,31,0,35,7.05,
2,Kenneth Omeruo,DR,0,0,0,74,2,56,7.36,
3,Ben Gibson,DC,0,0,0,60,2,44,7.57,
4,Daniel Ayala88',DC,0,0,0,68,1,32,6.7,
5,George Friend,DL,1,0,0,57,8,69,7.8,
6,Emmanuel Jorge Ledesma,MR,2,0,3,64,0,40,6.73,
7,Nathaniel Chalobah,MC,1,0,1,73,0,53,7.19,
8,Jacob Butterfield63',MC,2,0,1,63,1,35,6.42,
9,Grant Leadbitter,MC,1,0,1,78,3,49,7.21,
10,Mustapha Carayol,ML,2,0,1,58,0,36,6.57,
11,Curtis Main64',FW,1,1,2,63,1,14,6.11,
12,Kei Kamara88',Sub,1,0,0,100,0,3,6.14,
13,József Varga,Sub,0,0,0,0,0,0,0,
14,Dean Whitehead63',Sub,0,0,0,83,0,16,5.96,
15,Ryan Brobbel,Sub,0,0,0,0,0,0,0,
16,Sebastian Hines,Sub,0,0,0,0,0,0,0,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
18,Danny Graham64',Sub,1,0,1,43,0,13,5.88,
