,,,,,,,,,,
R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,35,0,38,6.53,
2,Justin Hoyte,DR,0,0,0,88,0,59,6.3,
3,Jonathan Woodgate,DC,0,0,0,71,6,53,7.02,
4,Rhys Williams,DC,0,0,0,84,3,52,6.48,
5,George Friend,DL,4,0,0,84,0,67,6.46,
6,Albert Adomah,MR,5,0,0,75,0,42,6.73,
7,Grant Leadbitter,MC,5,3,4,88,0,68,7.54,
8,József Varga72',MC,0,0,3,95,0,53,6.55,
9,Dean Whitehead,MC,0,0,4,92,1,90,7.47,
10,Mustapha Carayol72',ML,2,1,5,96,0,46,7.81,
11,Lukas Jutkiewicz,FW,6,1,2,71,4,40,7.55,
12,Marvin Emnes72',Sub,0,0,0,89,0,15,6.1,
13,Luke Williams,Sub,0,0,0,0,0,0,0,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,
17,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,
18,Andrew Halliday72',Sub,1,1,0,86,0,13,6.3,
