R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,60,0,37,6.46,
2,Rhys Williams89',DR,1,0,0,78,1,81,6.69,
3,Daniel Ayala,DC,1,0,0,91,3,56,6.64,
4,Jonathan Woodgate45',DC,0,0,0,89,2,24,6.53,
5,George Friend,DL,0,0,2,80,1,66,6.63,
6,Albert Adomah,MR,0,0,3,86,0,51,6.25,
7,Jacob Butterfield,MC,1,1,1,90,0,57,6.7,
8,Dean Whitehead,MC,0,0,2,88,2,68,6.92,
9,Grant Leadbitter,MC,3,0,2,87,0,71,6.51,
10,Mustapha Carayol,ML,2,2,2,75,1,56,7.45,
11,Lukas Jutkiewicz73',FW,5,0,1,36,4,32,6.16,
12,Luke Williams89',Sub,0,0,0,100,0,2,6,
13,Richard Smallwood,Sub,0,0,0,0,0,0,0,
14,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
15,Ben Gibson45',Sub,0,0,0,94,0,20,6.23,
16,Frazer Richardson,Sub,0,0,0,0,0,0,0,
17,Faris Haroun,Sub,0,0,0,0,0,0,0,
18,Curtis Main73',Sub,0,0,0,40,0,7,5.84,
