R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,1,50,0,41,6.75,
2,József Varga,DR,0,0,0,76,2,81,6.42,
3,Ben Gibson,DC,0,0,0,69,1,53,5.96,
4,Kenneth Omeruo,DC,0,0,0,60,12,73,8.41,
5,George Friend,DL,0,0,0,83,0,71,5.58,
6,Albert Adomah,MR,2,0,2,81,2,52,6.27,
7,Nathaniel Chalobah45',MC,0,0,0,74,3,44,5.87,
8,Dean Whitehead,MC,0,0,2,87,1,81,6.41,
9,Emmanuel Jorge Ledesma64',ML,3,2,0,81,0,42,6.38,
10,Luke Williams,FW,2,1,4,80,1,69,7.28,
11,Danny Graham,FW,2,0,0,92,0,22,5.64,
12,Jason Steele,Sub,0,0,0,0,0,0,0,
13,Curtis Main,Sub,0,0,0,0,0,0,0,
14,Daniel Ayala,Sub,0,0,0,0,0,0,0,
15,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,
16,Grant Leadbitter45',Sub,0,0,0,86,0,37,6.26,
17,Lee Tomlin64',Sub,1,0,1,71,0,24,6.32,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,
