R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,68,0,36,6.6,
2,Damiá,DR,0,0,0,81,1,67,6.53,
3,Kenneth Omeruo,DC,0,0,0,74,4,60,7.44,
4,Daniel Ayala,DC,1,0,0,78,2,49,6.92,
5,George Friend,DL,1,0,1,73,2,95,7.25,
6,Albert Adomah,MR,1,0,3,72,1,52,6.53,
7,Grant Leadbitter,MC,1,0,2,82,0,78,6.88,
8,Dean Whitehead60',MC,0,0,0,77,0,45,6.48,
9,Adam Reach75',ML,0,0,0,79,1,46,6.69,
10,Kike,FW,4,0,1,91,0,41,5.66,
11,Lee Tomlin85',FW,1,0,1,79,1,46,6.32,
12,James Husband,Sub,0,0,0,0,0,0,0,
13,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
16,Luke Williams85',Sub,1,0,0,80,1,6,6.07,
17,Emilio Nsue Lopez75',Sub,0,0,0,86,0,8,5.98,
18,Adam Clayton60',Sub,1,0,1,79,0,37,6.67,
