R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,35,0,51,7.68,
2,József Varga,DR,0,0,0,43,1,58,6.58,
3,Jonathan Woodgate45',DC,0,0,0,58,2,21,6.54,
4,Kenneth Omeruo,DC,0,0,0,50,4,50,7.64,
5,George Friend,DL,0,0,0,50,1,50,6.05,
6,Jacob Butterfield75',MR,2,0,1,78,0,43,7.33,
7,Dean Whitehead,MC,0,0,0,67,0,61,5.38,
8,Nathaniel Chalobah,MC,0,0,3,70,2,57,6.83,
9,Albert Adomah58',ML,0,0,1,31,0,26,6.03,
10,Danny Graham,FW,1,1,0,73,0,25,5.86,
11,Kei Kamara,FW,2,2,1,66,1,49,6.93,
12,Grant Leadbitter,Sub,0,0,0,0,0,0,0,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma58',Sub,1,1,0,50,0,12,6.19,
15,Lee Tomlin,Sub,0,0,0,0,0,0,0,
16,Curtis Main75',Sub,1,0,0,80,0,9,5.79,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
18,Ben Gibson45',Sub,0,0,0,36,1,21,6.46,
