R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,66,0,60,6.64,
2,Frazer Richardson77',DR,0,0,0,77,0,44,6.51,
3,Rhys Williams,DC,0,0,0,77,4,58,7.11,
4,Ben Gibson,DC,0,0,0,84,2,46,6.79,
5,George Friend,DL,0,0,2,67,4,71,7.23,
6,Jacob Butterfield,MR,7,3,2,96,0,70,8.95,
7,Dean Whitehead,MC,0,0,1,89,0,69,7.47,
8,Grant Leadbitter78',MC,4,2,1,91,0,65,7.19,
9,Albert Adomah,ML,2,1,3,75,2,54,8.2,
10,Marvin Emnes62',AMC,2,1,1,88,0,26,6.69,
11,Kei Kamara,FW,7,2,2,56,5,46,9.76,
12,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,
14,Justin Hoyte77',Sub,0,0,0,100,0,8,5.96,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,
17,Mustapha Carayol62',Sub,0,0,2,83,0,18,7.08,
18,József Varga78',Sub,0,0,0,25,0,6,6.09,
