,,,,,,,,,,
R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,57,1,24,6.18,
2,Damiá,DR,0,0,0,78,3,74,6.57,
3,Kenneth Omeruo,DC,0,0,0,71,6,65,7.04,
4,Sebastian Hines76',DC,2,0,2,79,1,36,6.32,
5,George Friend,DL,1,0,2,67,9,96,7.33,
6,Adam Clayton77',DMC,2,0,3,94,2,44,6.68,
7,Grant Leadbitter,DMC,2,0,9,71,3,76,8.52,
8,Albert Adomah,AMR,4,2,0,76,2,48,7.01,
9,Lee Tomlin59',AMC,2,1,1,77,0,25,5.91,
10,Adam Reach,AML,0,0,2,64,2,75,7.99,
11,Kike,FW,8,3,3,64,3,47,6.36,
12,Emmanuel Ledesma,Sub,0,0,0,0,0,0,undefined,
13,Ben Gibson,Sub,0,0,0,0,0,0,undefined,
14,Luke Williams76',Sub,0,0,0,100,0,2,6.02,
15,Dean Whitehead77',Sub,0,0,0,64,2,16,6.19,
16,Patrick Bamford59',Sub,3,0,0,100,1,9,5.9,
17,Daniel Ayala,Sub,0,0,0,0,0,0,undefined,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,undefined,
