R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,33,0,31,6.7,
2,József Varga,DR,0,0,0,67,0,53,6.64,
3,Kenneth Omeruo,DC,0,0,0,57,5,56,7.86,
4,Ben Gibson,DC,1,0,2,62,0,39,7.08,
5,George Friend,DL,2,0,2,72,2,77,7.67,
6,Emmanuel Jorge Ledesma,MR,1,0,0,61,0,53,6.47,
7,Grant Leadbitter,MC,0,0,3,84,2,54,8.41,
8,Nathaniel Chalobah,MC,0,0,0,80,4,42,7.15,
9,Mustapha Carayol81',ML,3,1,1,76,0,52,8.32,
10,Lee Tomlin78',AMC,2,0,0,88,0,35,6.53,
11,Danny Graham72',FW,3,2,1,50,3,23,8.54,
12,Jacob Butterfield78',Sub,0,0,0,90,0,14,6.16,
13,Luke Williams,Sub,0,0,0,0,0,0,0,
14,David Atkinson,Sub,0,0,0,0,0,0,0,
15,Bryn Morris,Sub,0,0,0,0,0,0,0,
16,Kei Kamara72',Sub,1,0,1,50,2,8,6.35,
17,Curtis Main81',Sub,1,0,0,100,0,6,5.9,
18,Jason Steele,Sub,0,0,0,0,0,0,0,
