R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,1,48,1,47,8.09,
2,József Varga,DR,0,0,0,74,1,69,6.61,
3,Daniel Ayala,DC,0,0,0,76,10,69,8.4,
4,Sebastian Hines,DC,0,0,0,62,6,56,7.31,
5,Ben Gibson,DL,0,0,0,82,0,60,6.41,
6,Albert Adomah45',MR,1,1,1,88,1,27,7.06,
7,Nathaniel Chalobah25',MC,1,0,1,92,0,17,6.2,
8,Dean Whitehead66',MC,0,0,2,95,1,50,7.11,
9,Emmanuel Jorge Ledesma,ML,11,3,1,70,2,76,9.22,
10,Danny Graham,FW,7,3,7,83,1,43,8.75,
11,Lee Tomlin,FW,4,1,3,91,0,63,8.16,
12,Luke Williams,Sub,0,0,0,0,0,0,0,
13,Adam Reach45',Sub,1,0,1,88,1,29,7,
14,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,
15,Bryn Morris66',Sub,0,0,0,94,0,22,6.04,
16,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
17,Jacob Butterfield25',Sub,0,0,2,85,0,50,6.74,
18,Curtis Main,Sub,0,0,0,0,0,0,0,
