R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Shay Given,GK,0,0,0,50,0,32,6.56,
2,József Varga,DR,0,0,0,71,1,60,6.82,
3,Jonathan Woodgate,DC,0,0,0,59,5,46,7.52,
4,Kenneth Omeruo,DC,0,0,0,71,2,50,7.13,
5,George Friend,DL,0,0,1,71,3,87,7.09,
6,Nathaniel Chalobah,MR,0,0,1,69,3,70,6.67,
7,Jacob Butterfield77',MC,2,1,2,71,0,50,6.02,
8,Grant Leadbitter,MC,2,0,3,82,2,65,6.89,
9,Kei Kamara67',ML,2,0,1,57,9,51,6.72,
10,Danny Graham,FW,2,1,0,59,0,28,6.26,
11,Curtis Main72',FW,1,0,0,70,4,31,6.63,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,
13,Emmanuel Jorge Ledesma77',Sub,0,0,1,67,0,6,6.25,
14,David Atkinson,Sub,0,0,0,0,0,0,0,
15,Lee Tomlin67',Sub,0,0,0,75,0,6,5.93,
16,Bryn Morris,Sub,0,0,0,0,0,0,0,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,
18,Albert Adomah72',Sub,2,1,1,50,0,13,6.02,
