R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Jason Steele,GK,0,0,0,29,0,53,7.89,
2,Frazer Richardson,DR,0,0,0,71,0,36,6.98,
3,Jonathan Woodgate,DC,0,0,0,56,4,36,7.37,
4,Rhys Williams,DC,0,0,1,78,3,40,6.82,
5,George Friend,DL,2,1,1,62,3,68,8.5,
6,Grant Leadbitter,MC,3,1,2,67,3,52,7.13,
7,Dean Whitehead,MC,0,0,0,83,1,52,7,
8,Jacob Butterfield,MC,2,1,0,91,2,42,7.03,
9,Kei Kamara81',FWR,2,1,1,78,3,35,7.27,
10,Marvin Emnes77',FW,0,0,4,89,0,47,6.65,
11,Albert Adomah80',FWL,3,1,1,65,0,41,7.05,
12,Lukas Jutkiewicz81',Sub,0,0,1,33,1,4,6.11,
13,Mustapha Carayol80',Sub,0,0,0,50,0,6,6.27,
14,Justin Hoyte,Sub,0,0,0,0,0,0,0,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,
16,Emmanuel Jorge Ledesma78',Sub,0,0,0,50,0,7,5.09,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,
